Ticker,Company Name,Exchange,Sector,Industry,Price,Market Cap ($M),Volume
AADX,"Applied Aerospace & Defense, Inc.",NYSE,Industrials,Aerospace & Defense,23.06,3948,815814
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,Semiconductors,120.95,9705,16036578
AAON,"AAON, Inc.",NASDAQ,Industrials,Construction,107.62,8815,1422711
AAP,"Advance Auto Parts, Inc.",NYSE,Consumer Cyclical,Specialty Retail,61.53,3679,985289
ABSI,Absci Corporation,NASDAQ,Healthcare,Biotechnology,11.62,1968,5278702
ABX,"Abacus Global Management, Inc.",NYSE,Financial Services,Insurance - Life,11.86,1138,578729
ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,Healthcare,Biotechnology,25.97,4447,1586395
ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,Healthcare,Medical - Care Facilities,31.91,2935,4463407
ACI,"Albertsons Companies, Inc.",NYSE,Consumer Defensive,Grocery Stores,14.13,6921,5097916
ACIW,"ACI Worldwide, Inc.",NASDAQ,Technology,Software - Infrastructure,54.88,5579,1231087
ACM,Aecom,NYSE,Industrials,Engineering & Construction,67.74,8706,1299360
ACMR,"ACM Research, Inc.",NASDAQ,Technology,Semiconductors,97.77,6269,2944320
AD,Array Digital Infrastructure Inc,NYSE,Communication Services,Telecommunications Services,36.24,3125,540053
ADC,Agree Realty Corporation,NYSE,Real Estate,REIT - Retail,77.81,9345,741810
ADEA,Adeia Inc.,NASDAQ,Technology,Software - Application,29.19,3219,2334158
ADNT,Adient plc,NYSE,Consumer Cyclical,Auto - Parts,18.76,1471,937793
ADPT,Adaptive Biotechnologies Corporation,NASDAQ,Healthcare,Biotechnology,21.19,3391,3393935
ADTN,ADTRAN Holdings Inc.,NASDAQ,Technology,Communication Equipment,12.71,1029,1770919
ADUR,Aduro Clean Technologies Inc.,NASDAQ,Industrials,Industrial - Pollution & Treatment Controls,15.68,531,978916
AEHR,Aehr Test Systems,NASDAQ,Technology,Semiconductors,69.96,2200,3480299
AEO,"American Eagle Outfitters, Inc.",NYSE,Consumer Cyclical,Apparel - Retail,16.45,2758,6089808
AESI,Atlas Energy Solutions Inc.,NYSE,Energy,Oil & Gas Equipment & Services,14.47,1807,4831859
AEVA,"Aeva Technologies, Inc.",NASDAQ,Consumer Cyclical,Auto - Parts,23.98,1619,2667141
AG,First Majestic Silver Corp.,NYSE,Basic Materials,Silver,17.82,8799,12402259
AGIO,"Agios Pharmaceuticals, Inc.",NASDAQ,Healthcare,Biotechnology,37.58,2224,791174
AHCO,AdaptHealth Corp.,NASDAQ,Healthcare,Medical - Devices,10.76,1464,729682
AIP,"Arteris, Inc.",NASDAQ,Technology,Semiconductors,35.06,1619,1759353
AKTS,"Aktis Oncology, Inc.",NASDAQ,Healthcare,Biotechnology,31.76,1696,723701
ALGT,Allegiant Travel Company,NASDAQ,Industrials,"Airlines, Airports & Air Services",118.67,2168,615154
ALHC,"Alignment Healthcare, Inc.",NASDAQ,Healthcare,Medical - Healthcare Plans,23.8,4920,5434253
ALIT,"Alight, Inc.",NYSE,Technology,Information Technology Services,14.26,376,1046504
ALK,"Alaska Air Group, Inc.",NYSE,Industrials,"Airlines, Airports & Air Services",51.09,5693,2236641
ALKS,Alkermes plc,NASDAQ,Healthcare,Biotechnology,54.58,9097,1653919
ALKT,"Alkami Technology, Inc.",NASDAQ,Technology,Software - Application,19.02,2036,2942849
ALM,Almonty Industries Inc.,NASDAQ,Basic Materials,Other Precious Metals,15.71,5161,4759479
ALMS,Alumis Inc.,NASDAQ,Healthcare,Biotechnology,26.5,3271,1819247
ALOY,REalloys Inc.,NASDAQ,Basic Materials,Other Precious Metals,13.28,813,3241082
ALSN,"Allison Transmission Holdings, Inc.",NYSE,Consumer Cyclical,Auto - Parts,116.37,9651,12247150
ALV,"Autoliv, Inc.",NYSE,Consumer Cyclical,Auto - Parts,116.24,8702,559278
AMBA,"Ambarella, Inc.",NASDAQ,Technology,Semiconductors,78.36,3438,2309871
AMBQ,"Ambiq Micro, Inc.",NYSE,Technology,Semiconductors,82.85,1976,579121
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Healthcare,Biotechnology,18.27,1519,1392714
AMN,"AMN Healthcare Services, Inc.",NYSE,Healthcare,Medical - Care Facilities,34.75,1348,862255
AMPX,"Amprius Technologies, Inc.",NYSE,Industrials,Electrical Equipment & Parts,12.38,1753,7432619
AMRX,"Amneal Pharmaceuticals, Inc.",NASDAQ,Healthcare,Drug Manufacturers - Specialty & Generic,17.15,5435,1544981
AMSC,American Superconductor Corporation,NASDAQ,Industrials,Industrial - Machinery,37.11,1798,884367
AMTM,"Amentum Holdings, Inc.",NYSE,Industrials,Aerospace & Defense,21.24,5184,2429723
ANAB,"AnaptysBio, Inc.",NASDAQ,Healthcare,Biotechnology,63.42,2735,1355586
ANDG,Andersen,NYSE,Industrials,Specialty Business Services,36.36,4090,571661
ANF,Abercrombie & Fitch Co.,NYSE,Consumer Cyclical,Apparel - Retail,92.41,4106,1028154
ANIP,"ANI Pharmaceuticals, Inc.",NASDAQ,Healthcare,Drug Manufacturers - Specialty & Generic,86.03,1956,580967
AORT,"Artivion, Inc.",NYSE,Healthcare,Medical - Devices,23.97,1164,698405
AOS,A. O. Smith Corporation,NYSE,Industrials,Industrial - Machinery,62.72,8762,1673041
AOSL,Alpha and Omega Semiconductor Limited,NASDAQ,Technology,Semiconductors,37.11,1111,780142
APAM,Artisan Partners Asset Management Inc.,NYSE,Financial Services,Asset Management,35.41,2514,1138653
APLD,Applied Digital Corp.,NASDAQ,Technology,Information Technology Services,33.06,9448,24641086
APLE,"Apple Hospitality REIT, Inc.",NYSE,Real Estate,REIT - Hotel & Motel,16.65,3928,1511068
APPN,Appian Corporation,NASDAQ,Technology,Software - Application,24.4,1805,728972
APPS,"Digital Turbine, Inc.",NASDAQ,Technology,Software - Application,12.71,1534,6019560
ARDT,Ardent Health Inc.,NYSE,Healthcare,Medical - Care Facilities,10.76,1542,603795
ARE,"Alexandria Real Estate Equities, Inc.",NYSE,Real Estate,REIT - Office,52.58,9163,1194059
