prediction_date,ticker,rank,entry_price,stop_price,target_price,rr_ratio,ema200_uptrend_pct,ema200_current_slope_pct,price_vs_ema200_pct,consolidation_range_pct,bounce_off_low_pct,price_vs_poc_pct,last_10d_return_pct,last_20d_return_pct,last_5d_return_pct,days_since_pullback_low,higher_low_pct,range_contraction_ratio,down_up_volume_ratio,close_vs_ema20_pct,ema20_slope_5d_pct,knife_risk_tier,trend_ema50,trend_ema200,price_above_trend_ema50,price_above_trend_ema200,trend_ema200_slope_pct,trend_ema200_long_slope_pct,trend_state,swing_high,swing_low,retracement_pct,in_fib_zone,pullback_width_bars,setup_type,rsi14,rel_volume,resolved,outcome,outcome_price,outcome_date,bars_to_resolution,actual_return_pct
2026-09-17,CSCO,1,110.21,107.84,121.94,4.95,34.23,2.36,10.62,4.32,2.59,-1.7,0.68,-0.31,2.59,5,0.2,1.48,1.06,-0.33,-0.37,stabilising,111.94,99.63,False,True,2.36,45.41,uptrend,112.93,107.36,48.83,True,15.0,trend_continuation,47.7,0.82,False,,,,,
2026-09-17,ENTG,2,134.49,129.12,161.33,5.0,29.28,1.31,4.1,12.56,4.55,-0.86,2.49,-6.8,-2.13,9,0.65,0.86,1.21,-1.76,-2.05,stabilising,139.64,129.2,False,True,1.31,49.99,uptrend,143.64,125.85,51.43,True,7.0,trend_continuation,46.9,0.84,False,,,,,
2026-09-17,FORM,3,111.33,103.6,149.98,5.0,70.86,0.94,8.89,17.58,16.69,-0.29,15.19,-3.09,-0.63,9,8.94,0.8,1.16,2.8,-0.72,stabilising,112.43,102.24,False,True,0.94,198.9,uptrend,139.34,92.39,59.66,True,22.0,trend_continuation,51.7,1.45,False,,,,,
2026-09-17,F,4,13.78,13.38,15.77,5.0,6.04,0.69,1.96,9.07,3.11,-1.71,-2.61,-4.97,-0.93,5,0.72,0.64,1.22,-0.9,-1.04,stabilising,14.01,13.52,False,True,0.69,15.16,uptrend,14.63,13.16,57.97,True,8.0,trend_continuation,47.4,0.59,False,,,,,
2026-09-17,KMT,5,29.975,28.81,34.65,4.0,9.26,-1.87,-7.67,6.27,2.94,-2.46,1.75,-1.99,2.94,9,1.5,0.73,0.97,-0.22,-0.97,stabilising,31.47,32.47,False,False,-1.87,36.21,downtrend,31.01,28.76,46.0,True,8.0,reversion_bounce,46.7,0.43,False,,,,,
2026-09-17,COCO,6,56.24,51.37,80.58,5.0,26.79,-0.94,-6.62,18.83,10.04,-15.93,-2.5,-16.76,10.04,5,6.32,1.24,0.63,-2.24,-2.51,stabilising,62.19,60.23,False,False,-0.94,63.46,downtrend,68.23,50.86,69.03,False,20.0,reversion_bounce,41.4,0.9,False,,,,,
2026-09-17,ACHC,7,28.41,26.56,36.06,4.13,30.64,2.26,10.21,10.15,3.82,-9.49,2.45,4.03,-0.44,18,1.35,0.67,1.15,-0.39,-1.04,stabilising,28.91,25.78,False,True,2.26,9.06,uptrend,29.73,26.91,46.9,True,5.0,trend_continuation,48.1,0.17,False,,,,,
2026-09-17,PVH,8,74.6,71.7,89.1,5.0,7.74,-1.25,-4.38,10.29,8.84,2.02,3.19,-5.61,7.68,5,4.64,0.86,0.82,0.72,-1.38,stabilising,77.16,78.02,False,False,-1.25,2.88,downtrend,91.0,67.93,71.09,False,30.0,reversion_bounce,48.9,0.49,False,,,,,
2026-09-17,MRCY,9,87.23,85.86,94.09,5.0,21.31,-1.11,-3.49,11.43,8.48,-20.59,5.57,-13.69,8.48,3,2.61,1.08,0.67,-0.69,-2.05,stabilising,94.24,90.39,False,False,-1.11,64.77,downtrend,114.66,89.92,100.0,False,22.0,reversion_bounce,45.1,0.31,False,,,,,
2026-09-17,SHO,10,11.055,10.94,11.65,5.0,13.45,1.39,5.74,4.3,1.75,-6.15,0.32,-1.03,0.64,6,0.7,0.98,1.15,-0.17,-0.33,stabilising,11.14,10.45,False,True,1.39,13.32,uptrend,11.44,10.78,57.58,True,16.0,trend_continuation,47.3,0.31,False,,,,,
