as_of_date,ticker,momentum_return_pct,entry_price,actual_price,actual_return_pct,direction_correct
2024-09-09,ARQQ,-71.27,7.073,7.11,0.52,True
2024-09-23,ARQQ,-61.38,5.502,5.79,5.23,True
2024-10-07,ARQQ,-73.61,3.86,7.49,94.04,True
2024-10-21,ARQQ,-58.77,7.11,26.77,276.51,True
2024-11-04,ARQQ,-68.04,5.79,32.93,468.74,True
2024-11-18,ARQQ,-53.65,7.49,38.025,407.68,True
2024-12-03,ARQQ,-49.05,26.77,26.73,-0.15,False
2024-12-17,ARQQ,-46.26,32.93,20.0,-39.27,False
2025-01-02,ARQQ,76.73,38.025,15.98,-57.98,False
2025-01-17,ARQQ,106.88,26.73,11.94,-55.33,False
2025-02-03,ARQQ,236.35,20.0,20.34,1.7,True
2025-02-18,ARQQ,152.65,15.98,13.415,-16.05,False
2025-03-04,ARQQ,79.6,11.94,14.71,23.2,True
2025-03-18,ARQQ,14.86,20.34,15.65,-23.06,False
2025-04-01,ARQQ,-29.66,13.415,15.75,17.41,True
2025-04-15,ARQQ,13.83,14.71,22.66,54.04,True
2025-04-30,ARQQ,-22.05,15.65,26.92,72.01,True
2025-05-14,ARQQ,16.32,15.75,38.88,146.86,True
2025-05-29,ARQQ,39.98,22.66,36.395,60.61,True
2025-06-12,ARQQ,50.88,26.92,36.42,35.29,True
2025-06-27,ARQQ,150.83,38.88,32.895,-15.39,False
2025-07-14,ARQQ,188.92,36.395,30.895,-15.11,False
2025-07-28,ARQQ,426.39,36.42,28.1,-22.84,False
2025-08-11,ARQQ,298.79,32.895,40.38,22.75,True
2025-08-25,ARQQ,310.42,30.895,55.0,78.02,True
2025-09-09,ARQQ,310.88,28.1,38.61,37.4,True
2025-09-23,ARQQ,246.96,40.38,36.14,-10.5,False
2025-10-07,ARQQ,256.0,55.0,26.445,-51.92,False
2025-10-21,ARQQ,456.63,38.61,29.535,-23.5,False
2025-11-04,ARQQ,1021.8,36.14,22.43,-37.94,False
2025-11-18,ARQQ,465.79,26.445,24.61,-6.94,False
2025-12-03,ARQQ,591.54,29.535,26.595,-9.95,False
2025-12-17,ARQQ,187.94,22.43,20.325,-9.38,False
2026-01-02,ARQQ,55.66,24.61,16.485,-33.02,False
2026-01-16,ARQQ,2.53,26.595,16.47,-38.07,False
2026-02-02,ARQQ,-47.47,20.325,14.185,-30.21,False
2026-02-17,ARQQ,48.11,16.485,13.27,-19.5,False
2026-03-03,ARQQ,-10.09,16.47,16.22,-1.52,False
2026-03-17,ARQQ,-5.65,14.185,13.22,-6.8,False
2026-03-31,ARQQ,31.24,13.27,13.84,4.3,True
2026-04-15,ARQQ,7.9,16.22,16.9,4.19,True
2026-04-29,ARQQ,-29.79,13.22,13.65,3.25,True
2026-05-13,ARQQ,-2.72,13.84,24.285,75.47,True
2024-09-09,ATEN,-16.81,13.105,14.51,10.72,True
2024-09-23,ATEN,-8.65,13.77,14.46,5.01,True
2024-10-07,ATEN,-9.35,14.2,16.35,15.14,True
2024-10-21,ATEN,-4.66,14.51,17.23,18.75,True
2024-11-04,ATEN,29.56,14.46,18.99,31.33,True
2024-11-18,ATEN,30.63,16.35,18.15,11.01,True
2024-12-03,ATEN,36.81,17.23,18.95,9.98,True
2024-12-17,ATEN,34.68,18.99,19.705,3.77,True
2025-01-02,ATEN,40.11,18.15,21.65,19.28,True
2025-01-17,ATEN,45.48,18.95,20.14,6.28,True
2025-02-03,ATEN,39.59,19.705,17.42,-11.6,False
2025-02-18,ATEN,38.59,21.65,16.61,-23.28,False
2025-03-04,ATEN,44.64,20.14,15.975,-20.68,False
2025-03-18,ATEN,68.43,17.42,16.49,-5.34,False
2025-04-01,ATEN,52.79,16.61,17.63,6.14,True
2025-04-15,ATEN,20.95,15.975,17.15,7.36,True
2025-04-30,ATEN,19.23,16.49,17.93,8.73,True
2025-05-14,ATEN,15.87,17.63,19.14,8.56,True
2025-05-29,ATEN,22.8,17.15,17.8,3.79,True
2025-06-12,ATEN,15.68,17.93,18.51,3.23,True
2025-06-27,ATEN,13.85,19.14,17.13,-10.5,False
2025-07-14,ATEN,27.11,17.8,17.23,-3.2,False
2025-07-28,ATEN,38.65,18.51,17.49,-5.51,False
2025-08-11,ATEN,36.61,17.13,18.24,6.48,True
2025-08-25,ATEN,33.6,17.23,18.12,5.17,True
2025-09-09,ATEN,40.78,17.49,18.05,3.2,True
2025-09-23,ATEN,30.53,18.24,17.54,-3.84,False
2025-10-07,ATEN,29.19,18.12,16.69,-7.89,False
2025-10-21,ATEN,32.73,18.05,17.62,-2.38,False
2025-11-04,ATEN,30.65,17.54,18.075,3.05,True
2025-11-18,ATEN,19.89,16.69,17.37,4.07,True
2025-12-03,ATEN,21.83,17.62,17.3,-1.82,False
2025-12-17,ATEN,1.75,18.075,17.68,-2.19,False
2026-01-02,ATEN,1.31,17.37,20.06,15.49,True
2026-01-16,ATEN,-4.85,17.3,20.42,18.03,True
2026-02-02,ATEN,-4.9,17.68,21.27,20.31,True
2026-02-17,ATEN,-3.57,20.06,23.12,15.25,True
2026-03-03,ATEN,-9.68,20.42,25.5,24.88,True
2026-03-17,ATEN,-1.26,21.27,26.635,25.22,True
2026-03-31,ATEN,-2.84,23.12,27.74,19.98,True
2026-04-15,ATEN,26.56,25.5,29.25,14.71,True
2026-04-29,ATEN,29.65,26.635,32.65,22.58,True
2026-05-13,ATEN,60.44,27.74,34.98,26.1,True
2024-09-09,BRX,11.54,27.38,27.91,1.94,True
2024-09-23,BRX,27.01,27.9,27.95,0.18,True
2024-10-07,BRX,24.2,27.27,29.26,7.3,True
2024-10-21,BRX,25.06,27.91,29.68,6.34,True
2024-11-04,BRX,35.94,27.95,28.645,2.49,True
2024-11-18,BRX,38.05,29.26,27.53,-5.91,False
2024-12-03,BRX,28.54,29.68,26.3,-11.39,False
2024-12-17,BRX,31.39,28.645,25.81,-9.9,False
2025-01-02,BRX,38.3,27.53,27.55,0.07,True
2025-01-17,BRX,19.44,26.3,27.28,3.73,True
2025-02-03,BRX,19.56,25.81,26.03,0.85,True
2025-02-18,BRX,17.83,27.55,26.495,-3.83,False
2025-03-04,BRX,14.88,27.28,24.965,-8.49,False
2025-03-18,BRX,22.07,26.03,24.89,-4.38,False
2025-04-01,BRX,24.62,26.495,25.655,-3.17,False
2025-04-15,BRX,15.59,24.965,25.61,2.58,True
2025-04-30,BRX,14.05,24.89,25.77,3.54,True
2025-05-14,BRX,16.23,25.655,26.05,1.54,True
2025-05-29,BRX,14.38,25.61,25.94,1.29,True
2025-06-12,BRX,16.84,25.77,25.545,-0.87,False
2025-06-27,BRX,14.72,26.05,25.825,-0.86,False
2025-07-14,BRX,13.76,25.94,27.54,6.17,True
2025-07-28,BRX,13.84,25.545,27.855,9.04,True
2025-08-11,BRX,14.63,25.825,27.525,6.58,True
2025-08-25,BRX,3.7,27.54,26.85,-2.51,False
2025-09-09,BRX,1.91,27.855,27.63,-0.81,False
2025-09-23,BRX,6.29,27.525,26.36,-4.23,False
2025-10-07,BRX,1.57,26.85,26.13,-2.68,False
2025-10-21,BRX,-2.46,27.63,25.37,-8.18,False
2025-11-04,BRX,-2.02,26.36,25.955,-1.54,False
2025-11-18,BRX,-2.15,26.13,25.98,-0.57,False
2025-12-03,BRX,-5.3,25.37,26.69,5.2,True
2025-12-17,BRX,-9.92,25.955,26.51,2.14,True
2026-01-02,BRX,-16.01,25.98,29.61,13.97,True
2026-01-16,BRX,-11.47,26.69,30.65,14.84,True
2026-02-02,BRX,-4.93,26.51,29.745,12.2,True
2026-02-17,BRX,-0.86,29.61,28.81,-2.7,False
2026-03-03,BRX,3.02,30.65,30.13,-1.7,False
2026-03-17,BRX,6.22,29.745,29.81,0.22,True
2026-03-31,BRX,10.91,28.81,29.34,1.84,True
2026-04-15,BRX,18.72,30.13,30.78,2.16,True
2026-04-29,BRX,9.3,29.81,32.17,7.92,True
2026-05-13,BRX,24.9,29.34,32.42,10.5,True
2024-09-09,CAG,-2.91,32.84,29.52,-10.11,False
2024-09-23,CAG,2.45,32.31,28.78,-10.93,False
2024-10-07,CAG,12.77,29.09,26.62,-8.49,False
2024-10-21,CAG,11.79,29.52,27.72,-6.1,False
2024-11-04,CAG,11.32,28.78,27.89,-3.09,False
2024-11-18,CAG,10.77,26.62,27.68,3.98,True
2024-12-03,CAG,7.35,27.72,25.83,-6.82,False
2024-12-17,CAG,-5.24,27.89,25.46,-8.71,False
2025-01-02,CAG,-2.05,27.68,23.91,-13.62,False
2025-01-17,CAG,-6.75,25.83,25.47,-1.39,False
2025-02-03,CAG,-3.21,25.46,26.01,2.16,True
2025-02-18,CAG,-9.76,23.91,26.58,11.17,True
2025-03-04,CAG,-12.06,25.47,25.565,0.37,True
2025-03-18,CAG,-7.38,26.01,24.69,-5.07,False
2025-04-01,CAG,-7.39,26.58,22.435,-15.59,False
2025-04-15,CAG,-8.03,25.565,22.66,-11.36,False
2025-04-30,CAG,-9.56,24.69,22.275,-9.78,False
2025-05-14,CAG,-12.68,22.435,20.375,-9.18,False
2025-05-29,CAG,-22.17,22.66,19.37,-14.52,False
2025-06-12,CAG,-25.87,22.275,19.2,-13.8,False
2025-06-27,CAG,-25.42,20.375,19.275,-5.4,False
2025-07-14,CAG,-24.81,19.37,19.15,-1.14,False
2025-07-28,CAG,-30.19,19.2,19.43,1.2,True
2025-08-11,CAG,-32.6,19.275,18.19,-5.63,False
2025-08-25,CAG,-34.38,19.15,18.91,-1.25,False
2025-09-09,CAG,-35.56,19.43,18.615,-4.19,False
2025-09-23,CAG,-36.0,18.19,17.11,-5.94,False
2025-10-07,CAG,-39.86,18.91,17.37,-8.14,False
2025-10-21,CAG,-44.03,18.615,17.17,-7.76,False
2025-11-04,CAG,-37.8,17.11,17.92,4.73,True
2025-11-18,CAG,-37.79,17.37,17.3,-0.4,False
2025-12-03,CAG,-41.27,17.17,16.95,-1.28,False
2025-12-17,CAG,-38.16,17.92,18.38,2.57,True
2026-01-02,CAG,-37.37,17.3,18.9,9.25,True
2026-01-16,CAG,-36.77,16.95,18.95,11.8,True
2026-02-02,CAG,-37.37,18.38,16.2,-11.86,False
2026-02-17,CAG,-33.24,18.9,15.71,-16.88,False
2026-03-03,CAG,-28.52,18.95,14.08,-25.7,False
2026-03-17,CAG,-20.12,16.2,14.225,-12.19,False
2026-03-31,CAG,-24.96,15.71,14.08,-10.38,False
2026-04-15,CAG,-37.96,14.08,13.39,-4.9,False
2026-04-29,CAG,-40.59,14.225,13.44,-5.52,False
2026-05-13,CAG,-43.93,14.08,14.05,-0.21,False
2026-01-28,CAI,-32.24,26.52,17.675,-33.35,False
2026-02-11,CAI,-33.03,21.53,18.33,-14.86,False
2026-02-26,CAI,-53.45,19.22,18.05,-6.09,False
2026-03-12,CAI,-60.14,17.675,20.21,14.34,True
2026-03-26,CAI,-67.17,18.33,16.145,-11.92,False
2026-04-10,CAI,-66.71,18.05,15.545,-13.88,False
2026-04-24,CAI,-66.86,20.21,16.15,-20.09,False
2026-05-08,CAI,-65.6,16.145,17.59,8.95,True
2026-05-22,CAI,-64.58,15.545,17.31,11.35,True
2024-09-09,CXW,27.21,13.22,13.7,3.63,True
2024-09-23,CXW,31.32,12.94,13.19,1.93,True
2024-10-07,CXW,23.43,12.725,21.15,66.21,True
2024-10-21,CXW,18.91,13.7,21.32,55.62,True
2024-11-04,CXW,14.43,13.19,21.35,61.87,True
2024-11-18,CXW,24.86,21.15,21.72,2.7,True
2024-12-03,CXW,2.46,21.32,23.03,8.02,True
2024-12-17,CXW,56.07,21.35,20.01,-6.28,False
2025-01-02,CXW,49.41,21.72,19.18,-11.69,False
2025-01-17,CXW,51.75,23.03,18.02,-21.75,False
2025-02-03,CXW,49.9,20.01,19.845,-0.82,False
2025-02-18,CXW,67.27,19.18,20.595,7.38,True
2025-03-04,CXW,40.4,18.02,22.13,22.81,True
2025-03-18,CXW,31.4,19.845,22.62,13.98,True
2025-04-01,CXW,22.67,20.595,21.56,4.69,True
2025-04-15,CXW,36.0,22.13,21.92,-0.95,False
2025-04-30,CXW,29.67,22.62,21.48,-5.04,False
2025-05-14,CXW,36.57,21.56,20.775,-3.64,False
2025-05-29,CXW,52.29,21.92,22.08,0.73,True
2025-06-12,CXW,40.4,21.48,20.13,-6.28,False
2025-06-27,CXW,42.59,20.775,20.21,-2.72,False
2025-07-14,CXW,39.03,22.08,20.53,-7.02,False
2025-07-28,CXW,79.29,20.13,20.425,1.47,True
2025-08-11,CXW,65.95,20.21,21.215,4.97,True
2025-08-25,CXW,39.72,20.53,18.915,-7.87,False
2025-09-09,CXW,68.24,20.425,18.295,-10.43,False
2025-09-23,CXW,59.31,21.215,18.455,-13.01,False
2025-10-07,CXW,49.66,18.915,16.13,-14.72,False
2025-10-21,CXW,64.58,18.295,18.62,1.78,True
2025-11-04,CXW,52.27,18.455,19.46,5.45,True
2025-11-18,CXW,29.4,16.13,18.99,17.73,True
2025-12-03,CXW,31.54,18.62,20.03,7.57,True
2025-12-17,CXW,-24.67,19.46,18.53,-4.78,False
2026-01-02,CXW,-18.79,18.99,18.7,-1.53,False
2026-01-16,CXW,-13.74,20.03,18.325,-8.51,False
2026-02-02,CXW,-10.27,18.53,20.295,9.53,True
2026-02-17,CXW,-10.88,18.7,18.9,1.07,True
2026-03-03,CXW,-9.51,18.325,20.08,9.58,True
2026-03-17,CXW,-1.51,20.295,20.555,1.28,True
2026-03-31,CXW,-3.76,18.9,20.595,8.97,True
2026-04-15,CXW,-4.57,20.08,21.765,8.39,True
2026-04-29,CXW,-7.35,20.555,26.85,30.63,True
2026-05-13,CXW,-4.37,20.595,30.77,49.41,True
2024-09-09,DHT,11.88,10.32,11.2,8.53,True
2024-09-23,DHT,11.86,10.74,10.11,-5.87,False
2024-10-07,DHT,19.3,12.07,10.75,-10.94,False
2024-10-21,DHT,11.23,11.2,9.92,-11.43,False
