as_of_date,ticker,has_signal,pattern_name,pattern_bias,pattern_confidence,entry_price,actual_price,actual_return_pct,direction_correct
2024-09-09,ARQQ,True,Double Top,Bearish,100.0,7.073,7.11,0.52,False
2024-09-23,ARQQ,True,Double Top,Bearish,100.0,5.502,5.79,5.23,False
2024-10-07,ARQQ,True,Double Top,Bearish,100.0,3.86,7.49,94.04,False
2024-10-21,ARQQ,True,Descending Triangle,Bearish,87.0,7.11,26.77,276.51,False
2024-11-04,ARQQ,True,Double Top,Bearish,100.0,5.79,32.93,468.74,False
2024-11-18,ARQQ,True,Double Bottom,Bullish,85.0,7.49,38.025,407.68,True
2024-12-03,ARQQ,False,,,,26.77,26.73,-0.15,False
2024-12-17,ARQQ,False,,,,32.93,20.0,-39.27,False
2025-01-02,ARQQ,False,,,,38.025,15.98,-57.98,False
2025-01-17,ARQQ,False,,,,26.73,11.94,-55.33,False
2025-02-03,ARQQ,True,Double Top,Bearish,80.0,20.0,20.34,1.7,False
2025-02-18,ARQQ,True,Head and Shoulders,Bearish,100.0,15.98,13.415,-16.05,True
2025-03-04,ARQQ,False,,,,11.94,14.71,23.2,True
2025-03-18,ARQQ,True,Descending Triangle,Bearish,85.0,20.34,15.65,-23.06,True
2025-04-01,ARQQ,False,,,,13.415,15.75,17.41,True
2025-04-15,ARQQ,False,,,,14.71,22.66,54.04,True
2025-04-30,ARQQ,True,Descending Triangle,Bearish,85.0,15.65,26.92,72.01,False
2025-05-14,ARQQ,True,Double Top,Bearish,65.0,15.75,38.88,146.86,False
2025-05-29,ARQQ,True,Double Bottom,Bullish,100.0,22.66,36.395,60.61,True
2025-06-12,ARQQ,True,Double Bottom,Bullish,100.0,26.92,36.42,35.29,True
2025-06-27,ARQQ,True,Double Bottom,Bullish,100.0,38.88,32.895,-15.39,False
2025-07-14,ARQQ,True,Double Bottom,Bullish,100.0,36.395,30.895,-15.11,False
2025-07-28,ARQQ,True,Double Top,Bearish,65.0,36.42,28.1,-22.84,True
2025-08-11,ARQQ,True,Double Top,Bearish,85.0,32.895,40.38,22.75,False
2025-08-25,ARQQ,True,Double Top,Bearish,85.0,30.895,55.0,78.02,False
2025-09-09,ARQQ,True,Double Bottom,Bullish,80.0,28.1,38.61,37.4,True
2025-09-23,ARQQ,True,Double Bottom,Bullish,85.0,40.38,36.14,-10.5,False
2025-10-07,ARQQ,True,Double Bottom,Bullish,85.0,55.0,26.445,-51.92,False
2025-10-21,ARQQ,True,Double Bottom,Bullish,85.0,38.61,29.535,-23.5,False
2025-11-04,ARQQ,True,Ascending Triangle,Bullish,72.0,36.14,22.43,-37.94,False
2025-11-18,ARQQ,True,Double Bottom,Bullish,65.0,26.445,24.61,-6.94,False
2025-12-03,ARQQ,True,Double Bottom,Bullish,65.0,29.535,26.595,-9.95,False
2025-12-17,ARQQ,True,Head and Shoulders,Bearish,100.0,22.43,20.325,-9.38,True
2026-01-02,ARQQ,True,Head and Shoulders,Bearish,80.0,24.61,16.485,-33.02,True
2026-01-16,ARQQ,True,Double Bottom,Bullish,80.0,26.595,16.47,-38.07,False
2026-02-02,ARQQ,True,Double Top,Bearish,100.0,20.325,14.185,-30.21,True
2026-02-17,ARQQ,True,Double Top,Bearish,100.0,16.485,13.27,-19.5,True
2026-03-03,ARQQ,True,Head and Shoulders,Bearish,100.0,16.47,16.22,-1.52,True
2026-03-17,ARQQ,True,Double Bottom,Bullish,65.0,14.185,13.22,-6.8,False
2026-03-31,ARQQ,True,Double Bottom,Bullish,65.0,13.27,13.84,4.3,True
2026-04-15,ARQQ,True,Double Top,Bearish,80.0,16.22,16.9,4.19,False
2026-04-29,ARQQ,True,Double Top,Bearish,80.0,13.22,13.65,3.25,False
2026-05-13,ARQQ,True,Double Bottom,Bullish,80.0,13.84,24.285,75.47,True
2024-09-09,ATEN,True,Cup and Handle,Bullish,85.0,13.105,14.51,10.72,True
2024-09-23,ATEN,True,Double Top,Bearish,80.0,13.77,14.46,5.01,False
2024-10-07,ATEN,True,Bull Flag,Bullish,90.0,14.2,16.35,15.14,True
2024-10-21,ATEN,True,Double Bottom,Bullish,65.0,14.51,17.23,18.75,True
2024-11-04,ATEN,True,Ascending Triangle,Bullish,100.0,14.46,18.99,31.33,True
2024-11-18,ATEN,True,Double Bottom,Bullish,100.0,16.35,18.15,11.01,True
2024-12-03,ATEN,True,Double Bottom,Bullish,100.0,17.23,18.95,9.98,True
2024-12-17,ATEN,False,,,,18.99,19.705,3.77,True
2025-01-02,ATEN,True,Double Top,Bearish,65.0,18.15,21.65,19.28,False
2025-01-17,ATEN,True,Double Bottom,Bullish,85.0,18.95,20.14,6.28,True
2025-02-03,ATEN,True,Ascending Triangle,Bullish,85.0,19.705,17.42,-11.6,False
2025-02-18,ATEN,True,Double Bottom,Bullish,100.0,21.65,16.61,-23.28,False
2025-03-04,ATEN,True,Double Bottom,Bullish,80.0,20.14,15.975,-20.68,False
2025-03-18,ATEN,True,Double Top,Bearish,100.0,17.42,16.49,-5.34,True
2025-04-01,ATEN,True,Double Top,Bearish,100.0,16.61,17.63,6.14,False
2025-04-15,ATEN,True,Head and Shoulders,Bearish,100.0,15.975,17.15,7.36,False
2025-04-30,ATEN,False,,,,16.49,17.93,8.73,True
2025-05-14,ATEN,True,Double Bottom,Bullish,80.0,17.63,19.14,8.56,True
2025-05-29,ATEN,True,Cup and Handle,Bullish,100.0,17.15,17.8,3.79,True
2025-06-12,ATEN,True,Cup and Handle,Bullish,100.0,17.93,18.51,3.23,True
2025-06-27,ATEN,True,Double Bottom,Bullish,85.0,19.14,17.13,-10.5,False
2025-07-14,ATEN,True,Double Top,Bearish,80.0,17.8,17.23,-3.2,True
2025-07-28,ATEN,True,Double Bottom,Bullish,80.0,18.51,17.49,-5.51,False
2025-08-11,ATEN,True,Double Top,Bearish,100.0,17.13,18.24,6.48,False
2025-08-25,ATEN,True,Double Top,Bearish,100.0,17.23,18.12,5.17,False
2025-09-09,ATEN,True,Double Top,Bearish,100.0,17.49,18.05,3.2,False
2025-09-23,ATEN,True,Descending Triangle,Bearish,85.0,18.24,17.54,-3.84,True
2025-10-07,ATEN,True,Descending Triangle,Bearish,85.0,18.12,16.69,-7.89,True
2025-10-21,ATEN,True,Double Bottom,Bullish,85.0,18.05,17.62,-2.38,False
2025-11-04,ATEN,True,Double Bottom,Bullish,80.0,17.54,18.075,3.05,True
2025-11-18,ATEN,True,Double Top,Bearish,100.0,16.69,17.37,4.07,False
2025-12-03,ATEN,True,Double Bottom,Bullish,80.0,17.62,17.3,-1.82,False
2025-12-17,ATEN,True,Double Bottom,Bullish,80.0,18.075,17.68,-2.19,False
2026-01-02,ATEN,True,Double Bottom,Bullish,80.0,17.37,20.06,15.49,True
2026-01-16,ATEN,True,Double Top,Bearish,100.0,17.3,20.42,18.03,False
2026-02-02,ATEN,True,Double Bottom,Bullish,80.0,17.68,21.27,20.31,True
2026-02-17,ATEN,True,Double Bottom,Bullish,100.0,20.06,23.12,15.25,True
2026-03-03,ATEN,True,Double Bottom,Bullish,100.0,20.42,25.5,24.88,True
2026-03-17,ATEN,True,Double Bottom,Bullish,100.0,21.27,26.635,25.22,True
2026-03-31,ATEN,True,Double Bottom,Bullish,85.0,23.12,27.74,19.98,True
2026-04-15,ATEN,True,Double Bottom,Bullish,85.0,25.5,29.25,14.71,True
2026-04-29,ATEN,True,Double Bottom,Bullish,85.0,26.635,32.65,22.58,True
2026-05-13,ATEN,True,Ascending Triangle,Bullish,87.0,27.74,34.98,26.1,True
2024-09-09,BRX,True,Double Bottom,Bullish,100,27.38,27.91,1.94,True
2024-09-23,BRX,True,Double Bottom,Bullish,100,27.9,27.95,0.18,True
2024-10-07,BRX,True,Ascending Triangle,Bullish,85,27.27,29.26,7.3,True
2024-10-21,BRX,True,Double Bottom,Bullish,80,27.91,29.68,6.34,True
2024-11-04,BRX,True,Double Bottom,Bullish,80,27.95,28.645,2.49,True
2024-11-18,BRX,True,Double Bottom,Bullish,100,29.26,27.53,-5.91,False
2024-12-03,BRX,True,Double Bottom,Bullish,100,29.68,26.3,-11.39,False
2024-12-17,BRX,True,Double Top,Bearish,65,28.645,25.81,-9.9,True
2025-01-02,BRX,True,Double Bottom,Bullish,80,27.53,27.55,0.07,True
2025-01-17,BRX,True,Head and Shoulders,Bearish,85,26.3,27.28,3.73,False
2025-02-03,BRX,True,Head and Shoulders,Bearish,85,25.81,26.03,0.85,False
2025-02-18,BRX,True,Double Bottom,Bullish,100,27.55,26.495,-3.83,False
2025-03-04,BRX,True,Bull Flag,Bullish,80,27.28,24.965,-8.49,False
2025-03-18,BRX,True,Double Top,Bearish,100,26.03,24.89,-4.38,True
2025-04-01,BRX,True,Double Top,Bearish,100,26.495,25.655,-3.17,True
2025-04-15,BRX,True,Double Top,Bearish,100,24.965,25.61,2.58,False
2025-04-30,BRX,True,Double Top,Bearish,80,24.89,25.77,3.54,False
2025-05-14,BRX,True,Cup and Handle,Bullish,85,25.655,26.05,1.54,True
2025-05-29,BRX,True,Cup and Handle,Bullish,85,25.61,25.94,1.29,True
2025-06-12,BRX,True,Cup and Handle,Bullish,100,25.77,25.545,-0.87,False
2025-06-27,BRX,True,Double Bottom,Bullish,80,26.05,25.825,-0.86,False
2025-07-14,BRX,True,Double Bottom,Bullish,80,25.94,27.54,6.17,True
2025-07-28,BRX,True,Double Bottom,Bullish,80,25.545,27.855,9.04,True
2025-08-11,BRX,True,Double Bottom,Bullish,80,25.825,27.525,6.58,True
2025-08-25,BRX,True,Double Bottom,Bullish,100,27.54,26.85,-2.51,False
2025-09-09,BRX,True,Double Bottom,Bullish,100,27.855,27.63,-0.81,False
2025-09-23,BRX,True,Double Bottom,Bullish,100,27.525,26.36,-4.23,False
2025-10-07,BRX,True,Ascending Triangle,Bullish,85,26.85,26.13,-2.68,False
2025-10-21,BRX,True,Double Bottom,Bullish,65,27.63,25.37,-8.18,False
2025-11-04,BRX,True,Double Top,Bearish,100,26.36,25.955,-1.54,True
2025-11-18,BRX,True,Double Top,Bearish,80,26.13,25.98,-0.57,True
2025-12-03,BRX,True,Double Top,Bearish,100,25.37,26.69,5.2,False
2025-12-17,BRX,True,Double Bottom,Bullish,80,25.955,26.51,2.14,True
2026-01-02,BRX,True,Double Bottom,Bullish,80,25.98,29.61,13.97,True
2026-01-16,BRX,True,Double Bottom,Bullish,85,26.69,30.65,14.84,True
2026-02-02,BRX,True,Ascending Triangle,Bullish,100,26.51,29.745,12.2,True
2026-02-17,BRX,True,Double Bottom,Bullish,100,29.61,28.81,-2.7,False
2026-03-03,BRX,True,Double Bottom,Bullish,100,30.65,30.13,-1.7,False
2026-03-17,BRX,True,Double Bottom,Bullish,100,29.745,29.81,0.22,True
2026-03-31,BRX,True,Ascending Triangle,Bullish,85,28.81,29.34,1.84,True
2026-04-15,BRX,True,Descending Triangle,Bearish,75,30.13,30.78,2.16,False
2026-04-29,BRX,True,Ascending Triangle,Bullish,90,29.81,32.17,7.92,True
2026-05-13,BRX,True,Double Bottom,Bullish,80,29.34,32.42,10.5,True
2024-09-09,CAG,True,Double Bottom,Bullish,100,32.84,29.52,-10.11,False
2024-09-23,CAG,True,Double Bottom,Bullish,100,32.31,28.78,-10.93,False
2024-10-07,CAG,True,Double Top,Bearish,100,29.09,26.62,-8.49,True
2024-10-21,CAG,True,Double Top,Bearish,100,29.52,27.72,-6.1,True
2024-11-04,CAG,True,Double Top,Bearish,100,28.78,27.89,-3.09,True
2024-11-18,CAG,True,Descending Triangle,Bearish,87,26.62,27.68,3.98,False
2024-12-03,CAG,True,Double Top,Bearish,85,27.72,25.83,-6.82,True
2024-12-17,CAG,True,Double Top,Bearish,85,27.89,25.46,-8.71,True
2025-01-02,CAG,True,Descending Triangle,Bearish,85,27.68,23.91,-13.62,True
2025-01-17,CAG,True,Ascending Triangle,Bullish,100,25.83,25.47,-1.39,False
2025-02-03,CAG,True,Double Top,Bearish,100,25.46,26.01,2.16,False
2025-02-18,CAG,True,Double Top,Bearish,100,23.91,26.58,11.17,False
2025-03-04,CAG,True,Double Bottom,Bullish,80,25.47,25.565,0.37,True
2025-03-18,CAG,True,Double Bottom,Bullish,80,26.01,24.69,-5.07,False
2025-04-01,CAG,True,Cup and Handle,Bullish,85,26.58,22.435,-15.59,False
2025-04-15,CAG,True,Double Bottom,Bullish,80,25.565,22.66,-11.36,False
2025-04-30,CAG,True,Descending Triangle,Bearish,90,24.69,22.275,-9.78,True
2025-05-14,CAG,True,Double Top,Bearish,100,22.435,20.375,-9.18,True
2025-05-29,CAG,True,Head and Shoulders,Bearish,100,22.66,19.37,-14.52,True
2025-06-12,CAG,True,Double Bottom,Bullish,80,22.275,19.2,-13.8,False
2025-06-27,CAG,True,Double Top,Bearish,100,20.375,19.275,-5.4,True
2025-07-14,CAG,True,Double Top,Bearish,100,19.37,19.15,-1.14,True
2025-07-28,CAG,True,Double Top,Bearish,100,19.2,19.43,1.2,False
2025-08-11,CAG,True,Double Bottom,Bullish,80,19.275,18.19,-5.63,False
2025-08-25,CAG,True,Double Bottom,Bullish,80,19.15,18.91,-1.25,False
2025-09-09,CAG,True,Double Bottom,Bullish,80,19.43,18.615,-4.19,False
2025-09-23,CAG,True,Double Bottom,Bullish,80,18.19,17.11,-5.94,False
2025-10-07,CAG,True,Double Top,Bearish,80,18.91,17.37,-8.14,True
2025-10-21,CAG,True,Double Bottom,Bullish,80,18.615,17.17,-7.76,False
2025-11-04,CAG,True,Double Top,Bearish,100,17.11,17.92,4.73,False
2025-11-18,CAG,True,Double Top,Bearish,100,17.37,17.3,-0.4,True
2025-12-03,CAG,True,Double Top,Bearish,100,17.17,16.95,-1.28,True
2025-12-17,CAG,True,Double Bottom,Bullish,80,17.92,18.38,2.57,True
2026-01-02,CAG,True,Ascending Triangle,Bullish,90,17.3,18.9,9.25,True
2026-01-16,CAG,True,Double Bottom,Bullish,80,16.95,18.95,11.8,True
2026-02-02,CAG,True,Double Bottom,Bullish,100,18.38,16.2,-11.86,False
2026-02-17,CAG,True,Double Top,Bearish,80,18.9,15.71,-16.88,True
2026-03-03,CAG,True,Double Bottom,Bullish,80,18.95,14.08,-25.7,False
2026-03-17,CAG,True,Double Top,Bearish,100,16.2,14.225,-12.19,True
2026-03-31,CAG,True,Double Top,Bearish,100,15.71,14.08,-10.38,True
2026-04-15,CAG,True,Double Top,Bearish,100,14.08,13.39,-4.9,True
2026-04-29,CAG,True,Double Top,Bearish,100,14.225,13.44,-5.52,True
2026-05-13,CAG,True,Double Top,Bearish,100,14.08,14.05,-0.21,True
2026-01-28,CAI,True,Double Top,Bearish,80,26.52,17.675,-33.35,True
2026-02-11,CAI,True,Double Top,Bearish,100,21.53,18.33,-14.86,True
2026-02-26,CAI,True,Double Top,Bearish,100,19.22,18.05,-6.09,True
2026-03-12,CAI,True,Double Bottom,Bullish,80,17.675,20.21,14.34,True
2026-03-26,CAI,True,Descending Triangle,Bearish,85,18.33,16.145,-11.92,True
2026-04-10,CAI,True,Double Bottom,Bullish,80,18.05,15.545,-13.88,False
2026-04-24,CAI,True,Double Bottom,Bullish,100,20.21,16.15,-20.09,False
2026-05-08,CAI,True,Double Top,Bearish,100,16.145,17.59,8.95,False
2026-05-22,CAI,True,Double Top,Bearish,100,15.545,17.31,11.35,False
2024-09-09,CXW,True,Cup and Handle,Bullish,85,13.22,13.7,3.63,True
2024-09-23,CXW,True,Double Top,Bearish,80,12.94,13.19,1.93,False
2024-10-07,CXW,True,Double Bottom,Bullish,80,12.725,21.15,66.21,True
2024-10-21,CXW,True,Double Bottom,Bullish,100,13.7,21.32,55.62,True
2024-11-04,CXW,True,Double Bottom,Bullish,80,13.19,21.35,61.87,True
2024-11-18,CXW,True,Double Bottom,Bullish,100,21.15,21.72,2.7,True
2024-12-03,CXW,True,Double Bottom,Bullish,85,21.32,23.03,8.02,True
2024-12-17,CXW,True,Double Top,Bearish,80,21.35,20.01,-6.28,True
2025-01-02,CXW,True,Double Bottom,Bullish,80,21.72,19.18,-11.69,False
2025-01-17,CXW,True,Descending Triangle,Bearish,85,23.03,18.02,-21.75,True
2025-02-03,CXW,True,Double Bottom,Bullish,80,20.01,19.845,-0.82,False
2025-02-18,CXW,True,Double Top,Bearish,100,19.18,20.595,7.38,False
2025-03-04,CXW,True,Double Top,Bearish,85,18.02,22.13,22.81,False
2025-03-18,CXW,True,Double Bottom,Bullish,100,19.845,22.62,13.98,True
2025-04-01,CXW,True,Double Bottom,Bullish,100,20.595,21.56,4.69,True
2025-04-15,CXW,True,Double Bottom,Bullish,100,22.13,21.92,-0.95,False
2025-04-30,CXW,True,Cup and Handle,Bullish,85,22.62,21.48,-5.04,False
2025-05-14,CXW,True,Ascending Triangle,Bullish,85,21.56,20.775,-3.64,False
2025-05-29,CXW,True,Ascending Triangle,Bullish,87,21.92,22.08,0.73,True
2025-06-12,CXW,True,Ascending Triangle,Bullish,87,21.48,20.13,-6.28,False
2025-06-27,CXW,True,Double Top,Bearish,100,20.775,20.21,-2.72,True
2025-07-14,CXW,True,Double Bottom,Bullish,100,22.08,20.53,-7.02,False
2025-07-28,CXW,True,Double Bottom,Bullish,80,20.13,20.425,1.47,True
2025-08-11,CXW,True,Cup and Handle,Bullish,85,20.21,21.215,4.97,True
2025-08-25,CXW,True,Double Bottom,Bullish,80,20.53,18.915,-7.87,False
2025-09-09,CXW,True,Cup and Handle,Bullish,85,20.425,18.295,-10.43,False
2025-09-23,CXW,True,Double Bottom,Bullish,80,21.215,18.455,-13.01,False
2025-10-07,CXW,True,Double Top,Bearish,100,18.915,16.13,-14.72,True
2025-10-21,CXW,True,Double Top,Bearish,100,18.295,18.62,1.78,False
2025-11-04,CXW,True,Double Top,Bearish,100,18.455,19.46,5.45,False
2025-11-18,CXW,True,Double Bottom,Bullish,65,16.13,18.99,17.73,True
2025-12-03,CXW,True,Double Bottom,Bullish,100,18.62,20.03,7.57,True
2025-12-17,CXW,True,Double Bottom,Bullish,100,19.46,18.53,-4.78,False
2026-01-02,CXW,True,Cup and Handle,Bullish,100,18.99,18.7,-1.53,False
2026-01-16,CXW,True,Cup and Handle,Bullish,100,20.03,18.325,-8.51,False
2026-02-02,CXW,True,Double Top,Bearish,85,18.53,20.295,9.53,False
2026-02-17,CXW,True,Double Top,Bearish,85,18.7,18.9,1.07,False
2026-03-03,CXW,True,Double Bottom,Bullish,80,18.325,20.08,9.58,True
2026-03-17,CXW,True,Double Bottom,Bullish,100,20.295,20.555,1.28,True
2026-03-31,CXW,True,Ascending Triangle,Bullish,85,18.9,20.595,8.97,True
2026-04-15,CXW,True,Ascending Triangle,Bullish,100,20.08,21.765,8.39,True
2026-04-29,CXW,True,Cup and Handle,Bullish,100,20.555,26.85,30.63,True
2026-05-13,CXW,True,Double Bottom,Bullish,80,20.595,30.77,49.41,True
2024-09-09,DHT,True,Descending Triangle,Bearish,87.0,10.32,11.2,8.53,False
2024-09-23,DHT,True,Double Bottom,Bullish,80.0,10.74,10.11,-5.87,False
2024-10-07,DHT,True,Double Bottom,Bullish,100.0,12.07,10.75,-10.94,False
2024-10-21,DHT,True,Double Bottom,Bullish,80.0,11.2,9.92,-11.43,False
2024-11-04,DHT,True,Double Top,Bearish,100.0,10.11,9.0,-10.98,True
2024-11-18,DHT,True,Double Bottom,Bullish,100.0,10.75,9.65,-10.23,False
2024-12-03,DHT,True,Double Top,Bearish,100.0,9.92,10.76,8.47,False
2024-12-17,DHT,True,Double Top,Bearish,100.0,9.0,11.44,27.11,False
2025-01-02,DHT,True,Double Top,Bearish,100.0,9.65,11.03,14.3,False
2025-01-17,DHT,True,Double Bottom,Bullish,100.0,10.76,10.52,-2.23,False
2025-02-03,DHT,True,Double Bottom,Bullish,100.0,11.44,10.64,-6.99,False
2025-02-18,DHT,False,,,,11.03,10.57,-4.17,False
2025-03-04,DHT,True,Head and Shoulders,Bearish,100.0,10.52,9.89,-5.99,True
