rank,feature,importance
1,ema50_slope,0.17888477343909231
2,rs_60,0.08940569578976526
3,volume,0.06076497542320477
4,vwap_position_60,0.05428680938582842
5,rsi_slope,0.05220422442582117
6,ma5,0.04702431598695223
7,volume_lag_1,0.04646345427637587
8,ema50,0.04210742748077377
9,close_lag_1,0.035647041010125315
10,mom_20,0.032827547131354294
11,ema20_slope,0.032696609799522124
12,close_lag_3,0.03212347839773463
13,close_lag_2,0.028635490181129687
14,volatility,0.02457320535410899
15,price_change,0.023782602131297542
16,price_vol_confirm,0.021647225388231137
17,mom_10,0.021042389356039422
18,ma20,0.020448072624767413
19,rs_20,0.018717197179228477
20,close_lag_5,0.014809288250988392
21,high,0.014482526556842118
22,mom_5,0.013794426677397956
23,ma10,0.013771858072155939
24,high_low_range,0.012785399098812414
25,range_position,0.0127525937060705
26,low,0.012519828953372435
27,rsi,0.01153482517389337
28,insider_net_buy_pct_90d,0.010178317921688483
29,ema20,0.0101767494086765
30,volume_change,0.006102068077131215
31,weekly_uptrend,0.003809583341617758
