as_of_date,ticker,smartscore,setup,near_miss,entry,stop,target,rr_ratio,weak_rr,direction_correct,actual_return_pct,bars_to_resolution
2025-04-07,CAG,100,Pullback,False,26.02,25.12,31.67,6.3,False,False,-3.46,1
2026-02-03,CAG,100,Breakout,False,19.11,18.28,25.45,7.67,False,False,-4.34,24
2026-02-06,CAG,94,Breakout,False,19.37,18.28,25.67,5.77,False,False,-5.63,21
2026-02-11,CAG,84,Breakout,False,20.03,17.77,26.83,3.0,False,False,-11.28,19
2026-02-17,CAG,90,,True,18.9,18.28,25.83,11.14,False,False,-3.28,15
2026-02-25,CAG,75,,True,18.67,18.28,24.89,15.87,False,False,-2.09,9
2026-03-02,CAG,45,,True,19.18,18.28,23.89,5.22,False,False,-4.69,6
2026-03-05,CAG,100,Pullback,False,18.61,18.27,23.55,14.45,False,False,-1.83,3
2024-09-09,EEM,100,Pullback,False,42.14,41.75,47.42,13.54,False,False,-0.93,1
2024-10-03,EEM,83,Breakout,False,46.52,43.55,56.14,3.23,False,False,-6.38,28
2024-10-08,EEM,100,Breakout,False,46.15,44.39,56.95,6.13,False,False,-3.81,17
2024-10-11,EEM,94,Breakout,False,46.37,44.63,54.96,4.92,False,False,-3.75,14
2024-10-16,EEM,75,,True,45.54,44.64,54.03,9.44,False,False,-1.98,11
2024-10-21,EEM,70,,True,45.61,44.71,51.39,6.44,False,False,-1.97,7
2024-10-24,EEM,100,Pullback,False,45.15,44.72,46.97,4.32,False,False,-0.95,4
2024-10-29,EEM,100,Pullback,False,45.17,44.86,46.97,5.88,False,False,-0.69,1
2024-11-01,EEM,100,Pullback,False,44.53,44.2,46.97,7.15,False,False,-0.74,6
2024-11-06,EEM,100,Pullback,False,44.77,44.2,46.97,3.78,False,False,-1.27,3
2024-11-11,EEM,100,Pullback,False,44.31,44.17,46.97,18.97,False,False,-0.32,1
2025-02-19,EEM,82,Breakout,False,44.62,43.98,46.97,3.66,False,False,-1.43,6
2025-02-24,EEM,85,Breakout,False,44.22,43.98,46.97,11.66,False,False,-0.54,3
2025-02-27,EEM,75,,True,43.8,43.19,46.97,5.2,False,False,-1.39,1
2025-03-04,EEM,100,Pullback,False,43.19,42.69,46.97,7.55,False,False,-1.16,23
2025-03-07,EEM,66,Breakout,False,44.41,43.98,46.97,5.93,False,False,-0.97,1
2025-03-12,EEM,60,,True,43.95,42.69,49.78,4.6,False,False,-2.87,17
2025-03-17,EEM,85,Breakout,False,45.34,44.86,46.97,3.42,False,False,-1.06,3
2025-03-20,EEM,79,Breakout,False,44.79,43.98,49.89,6.29,False,False,-1.81,6
2025-03-25,EEM,75,,True,44.66,43.98,46.97,3.39,False,False,-1.52,3
2025-03-28,EEM,100,Pullback,False,43.79,43.61,46.97,17.99,False,False,-0.41,1
2025-04-02,EEM,95,Pullback,False,43.9,43.16,46.97,4.14,False,False,-1.69,1
2025-05-07,EEM,81,Breakout,False,44.62,43.98,46.97,3.62,False,True,5.27,22
2025-07-25,EEM,95,Breakout,False,49.52,48.21,53.45,3.0,False,False,-2.65,5
2025-07-30,EEM,100,,True,48.85,48.34,53.18,8.43,False,False,-1.04,2
2025-09-03,EEM,85,,True,49.99,49.26,53.67,5.02,False,True,7.36,20
2025-10-02,EEM,85,Breakout,False,54.09,52.06,61.07,3.42,False,False,-3.75,6
2025-10-07,EEM,85,Breakout,False,54.07,52.34,59.82,3.33,False,False,-3.2,3
2025-10-10,EEM,100,Pullback,False,51.95,51.83,53.12,9.39,False,True,2.25,1
2025-10-28,EEM,80,Breakout,False,55.7,53.38,62.65,3.0,False,False,-4.17,17
2025-10-31,EEM,94,Breakout,False,55.3,53.75,63.54,5.33,False,False,-2.8,12
2025-11-05,EEM,75,Breakout,False,55.11,53.87,63.54,6.82,False,False,-2.25,2
2025-11-10,EEM,82,Breakout,False,55.5,53.81,62.39,4.08,False,False,-3.05,6
2025-11-13,EEM,75,,True,54.95,53.81,60.34,4.73,False,False,-2.07,3
2025-11-26,EEM,63,Pullback,False,54.23,53.54,61.15,9.96,False,False,-1.27,13
2025-12-02,EEM,60,,True,54.28,53.54,61.15,9.23,False,False,-1.36,10
2025-12-05,EEM,60,Breakout,False,54.75,53.54,61.86,5.88,False,False,-2.21,7
2025-12-10,EEM,85,Breakout,False,55.13,53.54,61.15,3.79,False,False,-2.88,4
2025-12-15,EEM,100,Pullback,False,54.08,53.54,59.85,10.81,False,False,-1.0,1
2025-12-18,EEM,100,Pullback,False,53.18,51.92,59.85,5.29,False,True,12.54,25
2025-12-23,EEM,50,,True,54.32,53.54,59.54,6.7,False,True,9.61,22
2025-12-29,EEM,77,Breakout,False,54.66,53.54,60.92,5.56,False,True,11.45,21
2026-01-26,EEM,85,Breakout,False,59.16,56.49,67.38,3.08,False,False,-4.51,29
2026-01-29,EEM,85,Breakout,False,60.45,57.21,71.1,3.28,False,False,-5.36,22
2026-02-03,EEM,80,Breakout,False,59.6,57.42,67.95,3.81,False,False,-3.66,19
2026-02-06,EEM,90,Breakout,False,60.06,57.48,67.79,3.0,False,False,-4.3,16
2026-02-11,EEM,85,Breakout,False,61.57,58.13,71.9,3.0,False,False,-5.59,13
2026-02-17,EEM,89,Breakout,False,60.86,58.22,69.45,3.25,False,False,-4.34,10
2026-02-20,EEM,85,Breakout,False,62.35,59.0,72.39,3.0,False,False,-5.37,7
2026-02-25,EEM,85,Breakout,False,63.32,59.62,74.42,3.0,False,False,-5.84,4
2026-03-02,EEM,97,Breakout,False,61.48,59.91,71.85,6.59,False,False,-2.55,1
2026-03-10,EEM,100,Pullback,False,58.68,57.93,75.0,21.73,False,False,-1.28,2
2024-09-20,EFA,95,Breakout,False,82.27,79.32,90.89,2.92,True,False,-3.59,29
2024-09-30,EFA,85,Breakout,False,83.67,81.12,92.85,3.6,False,False,-3.05,11
2025-02-24,EFA,100,Breakout,False,81.47,79.45,90.65,4.55,False,False,-2.48,29
2025-02-27,EFA,100,Breakout,False,81.42,79.8,91.5,6.2,False,False,-1.99,26
2025-03-04,EFA,90,Breakout,False,82.45,79.95,90.95,3.4,False,False,-3.03,23
2025-03-07,EFA,85,Breakout,False,84.42,80.61,95.82,3.0,False,False,-4.51,19
2025-03-12,EFA,84,Breakout,False,82.72,80.65,92.12,4.54,False,False,-2.5,16
2025-03-17,EFA,78,Breakout,False,84.65,81.03,95.51,3.0,False,False,-4.28,10
2025-03-20,EFA,80,Breakout,False,84.18,81.61,92.26,3.14,False,False,-3.05,7
2025-03-28,EFA,100,Pullback,False,82.49,81.88,91.61,15.05,False,False,-0.74,1
2025-04-02,EFA,100,Pullback,False,82.05,80.92,92.09,8.88,False,False,-1.38,1
2025-06-03,EFA,78,Breakout,False,89.06,86.22,97.57,3.0,False,False,-3.19,13
2025-06-06,EFA,82,Breakout,False,89.74,86.87,98.36,3.0,False,False,-3.2,7
2025-06-11,EFA,85,Breakout,False,89.72,87.43,96.83,3.1,False,False,-2.55,4
2025-06-16,EFA,100,Pullback,False,88.09,87.52,95.92,13.71,False,False,-0.65,1
2025-06-20,EFA,100,Pullback,False,86.35,86.31,97.27,312.0,False,False,-0.05,1
2025-07-30,EFA,100,Pullback,False,88.48,87.58,97.76,10.31,False,False,-1.02,1
2025-08-28,EFA,100,Breakout,False,92.03,90.27,104.12,6.88,False,False,-1.91,2
2025-09-24,EFA,90,,True,92.57,91.61,99.79,7.51,False,False,-1.04,1
2025-10-10,EFA,100,Pullback,False,92.22,92.12,101.96,92.71,False,False,-0.11,29
2025-10-15,EFA,70,,True,93.86,92.12,101.96,4.66,False,False,-1.85,26
2025-10-20,EFA,76,Breakout,False,95.28,92.12,104.78,3.0,False,False,-3.32,23
2025-10-28,EFA,85,Breakout,False,95.67,93.31,102.72,3.0,False,False,-2.47,15
2025-10-31,EFA,85,,True,94.46,93.52,102.12,8.18,False,False,-1.0,2
2025-11-05,EFA,100,Pullback,False,94.18,93.42,102.12,10.42,False,False,-0.81,2
2025-11-10,EFA,90,Breakout,False,95.31,93.34,101.77,3.29,False,False,-2.07,6
2025-11-13,EFA,85,Breakout,False,95.53,93.34,102.09,3.0,False,False,-2.29,3
2025-11-18,EFA,100,Pullback,False,92.82,92.3,103.78,21.08,False,False,-0.56,1
2025-12-15,EFA,85,Breakout,False,97.09,94.35,107.43,3.76,False,False,-2.82,2
2025-12-29,EFA,82,Breakout,False,96.31,94.14,102.82,3.0,False,True,6.76,28
2026-01-02,EFA,85,Breakout,False,97.03,94.58,104.38,3.0,False,True,7.57,26
2026-01-26,EFA,85,Breakout,False,100.48,97.43,109.64,3.0,False,False,-3.04,28
2026-01-29,EFA,85,Breakout,False,101.69,97.88,113.12,3.0,False,False,-3.75,22
2026-02-03,EFA,100,Breakout,False,101.45,97.9,112.12,3.0,False,False,-3.5,19
2026-02-06,EFA,85,Breakout,False,102.61,98.78,114.09,3.0,False,False,-3.73,16
2026-02-11,EFA,85,Breakout,False,104.92,99.89,120.02,3.0,False,False,-4.79,13
2026-02-17,EFA,85,Breakout,False,104.2,100.27,117.12,3.29,False,False,-3.77,10
2026-02-20,EFA,85,Breakout,False,104.93,101.27,115.92,3.0,False,False,-3.49,7
2026-02-25,EFA,85,Breakout,False,105.69,101.89,117.08,3.0,False,False,-3.6,4
2026-03-02,EFA,100,,True,103.26,99.77,115.11,3.39,False,False,-3.38,1
2026-03-05,EFA,100,Pullback,False,99.15,97.39,119.19,11.39,False,False,-1.78,1
2026-03-10,EFA,100,Pullback,False,99.23,97.39,122.02,12.39,False,False,-1.85,2
2026-03-13,EFA,98,,True,96.31,96.0,101.29,16.05,False,False,-0.32,4
2026-04-14,EFA,68,Breakout,False,103.64,102.5,129.32,22.62,False,False,-1.1,5
2026-04-17,EFA,68,Breakout,False,104.31,102.5,126.86,12.49,False,False,-1.74,2
2026-04-22,EFA,78,Breakout,False,101.99,99.77,123.91,9.87,False,False,-2.18,5
2026-04-27,EFA,75,,True,101.39,99.77,123.66,13.74,False,False,-1.6,2
2026-05-08,EFA,81,Breakout,False,103.99,102.5,117.43,9.05,False,False,-1.43,2
2026-05-13,EFA,73,Breakout,False,103.86,102.5,114.66,7.97,False,False,-1.31,2
2026-05-21,EFA,80,Breakout,False,104.18,102.5,114.47,6.14,False,False,-1.61,10
2026-05-27,EFA,81,Breakout,False,104.79,102.5,115.07,4.5,False,False,-2.19,7
2025-10-15,FLNC,85,Breakout,False,21.41,20.93,51.34,62.98,False,False,-2.24,1
2026-05-13,FLNC,90,Breakout,False,22.12,20.93,54.0,26.9,False,False,-5.38,1
2026-05-18,FLNC,82,Breakout,False,19.54,18.64,53.34,37.4,False,False,-4.61,1
2025-05-07,GAP,85,Breakout,False,23.26,22.4,33.52,11.89,False,False,-3.7,16
2025-05-12,GAP,100,Breakout,False,24.81,22.4,37.91,5.43,False,False,-9.71,13
2025-05-15,GAP,100,Breakout,False,26.42,21.6,40.88,3.0,False,False,-18.24,13
2025-05-23,GAP,85,Breakout,False,28.45,23.86,43.02,3.18,False,False,-16.13,4
2025-05-29,GAP,84,Breakout,False,27.94,24.74,41.28,4.17,False,False,-11.45,1
2025-06-03,GAP,100,Pullback,False,21.96,20.93,41.62,19.18,False,False,-4.69,1
2025-09-03,GAP,77,Breakout,False,22.57,22.4,29.74,41.55,False,False,-0.75,12
2025-09-08,GAP,75,Breakout,False,24.15,22.4,33.43,5.3,False,False,-7.25,9
2025-09-11,GAP,75,Breakout,False,24.21,22.4,32.64,4.65,False,False,-7.48,6
2025-09-19,GAP,95,Pullback,False,22.26,20.04,30.8,3.85,False,False,-9.97,15
2025-09-29,GAP,100,Pullback,False,21.34,20.04,30.11,6.74,False,False,-6.09,9
2025-10-31,GAP,85,,True,22.82,22.4,24.89,4.97,False,False,-1.84,2
2025-12-23,GAP,80,,True,26.38,25.09,33.54,5.57,False,False,-4.89,6
2026-01-26,GAP,85,,True,26.67,24.88,36.05,5.23,False,False,-6.71,28
2026-01-29,GAP,70,Breakout,False,27.69,25.78,36.05,4.39,False,False,-6.9,25
2026-02-20,GAP,85,Breakout,False,28.77,25.67,35.69,2.23,True,False,-10.78,10
2026-03-05,GAP,100,Pullback,False,27.26,26.48,34.89,9.74,False,False,-2.86,1
2026-04-22,GAP,75,,True,25.91,25.73,26.96,6.04,False,False,-0.69,1
2024-09-20,HYG,85,Breakout,False,80.23,78.97,84.0,3.0,False,False,-1.57,30
2024-09-25,HYG,90,Breakout,False,80.04,79.22,83.05,3.67,False,False,-1.02,20
