as_of_date,ticker,smartscore,setup,near_miss,entry,stop,target,rr_ratio,weak_rr,direction_correct,actual_return_pct,bars_to_resolution
2025-04-07,CAG,100,Pullback,False,26.02,25.12,28.72,3.0,False,False,-3.46,1
2026-02-03,CAG,100,Breakout,False,19.11,18.28,21.6,3.0,False,False,-4.34,24
2026-02-06,CAG,94,Breakout,False,19.37,18.28,22.64,3.0,False,False,-5.63,21
2026-02-11,CAG,84,Breakout,False,20.03,17.77,26.81,3.0,False,False,-11.28,19
2026-02-17,CAG,90,,True,18.9,18.28,20.76,3.0,False,False,-3.28,15
2026-02-25,CAG,75,,True,18.67,18.28,19.84,3.0,False,False,-2.09,9
2026-03-02,CAG,45,,True,19.18,18.28,21.88,3.0,False,False,-4.69,6
2026-03-05,CAG,100,Pullback,False,18.61,18.27,19.63,3.0,False,False,-1.83,3
2024-09-09,EEM,100,Pullback,False,42.14,41.75,43.31,3.0,False,False,-0.93,1
2024-10-03,EEM,83,Breakout,False,46.52,43.55,55.43,3.0,False,False,-6.38,28
2024-10-08,EEM,100,Breakout,False,46.15,44.39,51.43,3.0,False,False,-3.81,17
2024-10-11,EEM,94,Breakout,False,46.37,44.63,51.59,3.0,False,False,-3.75,14
2024-10-16,EEM,75,,True,45.54,44.64,48.24,3.0,False,False,-1.98,11
2024-10-21,EEM,70,,True,45.61,44.71,48.31,3.0,False,False,-1.97,7
2024-10-24,EEM,100,Pullback,False,45.15,44.72,46.44,3.0,False,False,-0.95,4
2024-10-29,EEM,100,Pullback,False,45.17,44.86,46.1,3.0,False,False,-0.69,1
2024-11-01,EEM,100,Pullback,False,44.53,44.2,45.52,3.0,False,True,2.22,4
2024-11-06,EEM,100,Pullback,False,44.77,44.2,46.48,3.0,False,False,-1.27,3
2024-11-11,EEM,100,Pullback,False,44.31,44.17,44.73,3.0,False,False,-0.32,1
2025-02-19,EEM,82,Breakout,False,44.62,43.98,46.54,3.0,False,False,-1.43,6
