as_of_date,ticker,smartscore,setup,near_miss,entry,stop,target,rr_ratio,weak_rr,direction_correct,actual_return_pct,bars_to_resolution
2025-04-07,CAG,100,Pullback,False,26.02,25.12,28.61,2.88,True,False,-3.46,1
2026-02-03,CAG,100,Breakout,False,19.11,18.28,20.9,2.16,True,False,-4.34,24
2026-02-06,CAG,94,Breakout,False,19.37,18.28,21.2,1.68,True,False,-5.63,21
2026-02-11,CAG,84,Breakout,False,20.03,17.77,21.97,0.86,True,False,-11.28,19
2026-02-17,CAG,90,,True,18.9,18.28,20.81,3.08,False,False,-3.28,15
2026-02-25,CAG,75,,True,18.67,18.28,20.58,4.9,False,False,-2.09,9
2026-03-02,CAG,45,,True,19.18,18.28,21.14,2.18,True,False,-4.69,6
2026-03-05,CAG,100,Pullback,False,18.61,18.27,20.52,5.62,False,False,-1.83,3
2024-09-09,EEM,100,Pullback,False,42.14,41.75,44.46,5.95,False,False,-0.93,1
2024-09-17,EEM,50,,True,43.04,41.56,45.41,1.6,True,True,5.51,5
2024-09-20,EEM,85,Breakout,False,43.7,41.56,46.2,1.17,True,True,5.72,4
2024-10-03,EEM,83,Breakout,False,46.52,43.55,49.79,1.1,True,False,-6.38,28
2024-10-08,EEM,100,Breakout,False,46.15,44.39,49.51,1.91,True,False,-3.81,17
2024-10-11,EEM,94,Breakout,False,46.37,44.63,49.69,1.91,True,False,-3.75,14
2024-10-16,EEM,75,,True,45.54,44.64,48.86,3.69,False,False,-1.98,11
2024-10-21,EEM,70,,True,45.61,44.71,48.9,3.66,False,False,-1.97,7
2024-10-24,EEM,100,Pullback,False,45.15,44.72,48.34,7.42,False,False,-0.95,4
2024-10-29,EEM,100,Pullback,False,45.17,44.86,48.11,9.48,False,False,-0.69,1
2024-11-01,EEM,100,Pullback,False,44.53,44.2,47.37,8.61,False,False,-0.74,6
2024-11-06,EEM,100,Pullback,False,44.77,44.2,47.68,5.11,False,False,-1.27,3
2024-11-11,EEM,100,Pullback,False,44.31,44.17,46.41,15.0,False,False,-0.32,1
2025-02-19,EEM,82,Breakout,False,44.62,43.98,46.77,3.36,False,False,-1.43,6
2025-02-24,EEM,85,Breakout,False,44.22,43.98,46.42,9.17,False,False,-0.54,3
2025-02-27,EEM,75,,True,43.8,43.19,46.08,3.74,False,False,-1.39,1
2025-03-04,EEM,100,Pullback,False,43.19,42.69,45.5,4.62,False,False,-1.16,23
2025-03-07,EEM,66,Breakout,False,44.41,43.98,46.96,5.93,False,False,-0.97,1
2025-03-12,EEM,60,,True,43.95,42.69,46.47,2.0,True,False,-2.87,17
2025-03-17,EEM,85,Breakout,False,45.34,44.86,48.05,5.65,False,False,-1.06,3
2025-03-20,EEM,79,Breakout,False,44.79,43.98,47.3,3.1,False,False,-1.81,6
2025-03-25,EEM,75,,True,44.66,43.98,47.16,3.68,False,False,-1.52,3
2025-03-28,EEM,100,Pullback,False,43.79,43.61,46.29,13.89,False,False,-0.41,1
2025-04-02,EEM,95,Pullback,False,43.9,43.16,46.4,3.38,False,False,-1.69,1
2025-07-14,EEM,68,Breakout,False,48.34,47.38,50.6,2.35,True,True,4.68,29
2025-07-25,EEM,95,Breakout,False,49.52,48.21,51.73,1.69,True,False,-2.65,5
2025-07-30,EEM,100,,True,48.85,48.34,50.86,3.94,False,False,-1.04,2
2025-08-04,EEM,85,,True,48.7,47.99,50.7,2.82,True,True,4.11,24
2025-08-07,EEM,77,Breakout,False,49.48,47.99,51.38,1.28,True,True,3.84,23
2025-08-12,EEM,85,Breakout,False,49.91,47.99,51.86,1.02,True,True,3.91,21
2025-08-15,EEM,98,Breakout,False,49.95,48.56,52.0,1.47,True,True,4.1,18
2025-08-20,EEM,96,Breakout,False,49.74,48.92,51.8,2.51,True,True,4.14,15
2025-08-25,EEM,84,Breakout,False,50.34,49.1,52.52,1.76,True,True,4.33,14
2025-08-28,EEM,93,Breakout,False,50.11,49.22,52.23,2.38,True,True,4.23,9
2025-09-03,EEM,85,,True,49.99,49.26,52.07,2.85,True,True,4.16,6
2025-09-08,EEM,85,Breakout,False,50.92,49.35,53.08,1.38,True,True,4.24,7
2025-09-11,EEM,85,Breakout,False,52.27,49.35,54.46,0.75,True,True,4.19,17
2025-09-16,EEM,85,Breakout,False,53.03,49.54,55.18,0.62,True,True,4.05,28
2025-09-19,EEM,85,Breakout,False,52.99,50.63,54.94,0.83,True,True,3.68,21
2025-09-24,EEM,82,Breakout,False,53.11,51.45,55.06,1.17,True,True,3.67,22
2025-09-29,EEM,85,Breakout,False,53.19,51.65,55.19,1.3,True,True,3.76,19
2025-10-02,EEM,85,Breakout,False,54.09,52.06,56.04,0.96,True,False,-3.75,6
2025-10-07,EEM,85,Breakout,False,54.07,52.34,56.04,1.14,True,False,-3.2,3
2025-10-10,EEM,100,Pullback,False,51.95,51.83,53.75,15.0,False,True,3.46,3
2025-10-28,EEM,80,Breakout,False,55.7,53.38,58.57,1.24,True,False,-4.17,17
2025-10-31,EEM,94,Breakout,False,55.3,53.75,58.19,1.86,True,False,-2.8,12
2025-11-05,EEM,75,Breakout,False,55.11,53.87,58.08,2.4,True,False,-2.25,2
2025-11-10,EEM,82,Breakout,False,55.5,53.81,58.5,1.78,True,False,-3.05,6
2025-11-13,EEM,75,,True,54.95,53.81,57.93,2.61,True,False,-2.07,3
2025-11-21,EEM,100,Pullback,False,53.11,51.83,56.0,2.26,True,True,5.44,27
2025-11-26,EEM,63,Pullback,False,54.23,53.54,57.2,4.3,False,False,-1.27,13
2025-12-02,EEM,60,,True,54.28,53.54,57.2,3.95,False,False,-1.36,10
2025-12-05,EEM,60,Breakout,False,54.75,53.54,57.65,2.4,True,False,-2.21,7
2025-12-10,EEM,85,Breakout,False,55.13,53.54,58.06,1.84,True,False,-2.88,4
2025-12-15,EEM,100,Pullback,False,54.08,53.54,56.99,5.39,False,False,-1.0,1
2025-12-18,EEM,100,Pullback,False,53.18,51.92,56.18,2.38,True,True,5.64,9
2025-12-23,EEM,50,,True,54.32,53.54,57.39,3.94,False,True,5.65,8
2025-12-29,EEM,77,Breakout,False,54.66,53.54,57.74,2.75,True,True,5.63,9
2026-01-02,EEM,85,Breakout,False,56.23,53.16,59.57,1.09,True,True,5.94,16
2026-01-07,EEM,85,Breakout,False,56.85,53.9,59.87,1.02,True,True,5.31,13
2026-01-12,EEM,85,Breakout,False,57.92,54.44,60.73,0.81,True,True,4.85,11
2026-01-15,EEM,85,Breakout,False,58.1,55.53,60.89,1.09,True,True,4.8,9
2026-01-21,EEM,85,Breakout,False,58.24,55.88,61.08,1.2,True,True,4.88,15
2026-01-26,EEM,85,Breakout,False,59.16,56.49,62.02,1.07,True,True,4.83,18
2026-01-29,EEM,85,Breakout,False,60.45,57.21,63.44,0.92,True,False,-5.36,22
2026-02-03,EEM,80,Breakout,False,59.6,57.42,62.57,1.36,True,True,4.98,14
2026-02-06,EEM,90,Breakout,False,60.06,57.48,63.22,1.22,True,True,5.26,12
2026-02-11,EEM,85,Breakout,False,61.57,58.13,64.82,0.94,True,False,-5.59,13
2026-02-17,EEM,89,Breakout,False,60.86,58.22,64.07,1.22,True,False,-4.34,10
2026-02-20,EEM,85,Breakout,False,62.35,59.0,65.66,0.99,True,False,-5.37,7
2026-02-25,EEM,85,Breakout,False,63.32,59.62,66.79,0.94,True,False,-5.84,4
2026-03-02,EEM,97,Breakout,False,61.48,59.91,64.99,2.24,True,False,-2.55,1
2026-03-05,EEM,100,Pullback,False,57.66,53.54,61.71,0.98,True,True,7.02,27
2026-03-10,EEM,100,Pullback,False,58.68,57.93,62.85,5.56,False,False,-1.28,2
2026-03-13,EEM,100,Pullback,False,56.81,53.54,61.03,1.29,True,True,7.43,20
2026-03-18,EEM,100,Pullback,False,57.58,53.54,61.97,1.09,True,True,7.62,18
2026-04-14,EEM,69,Breakout,False,62.25,57.93,68.33,1.41,True,True,9.77,29
2026-04-17,EEM,85,Breakout,False,63.63,56.33,69.84,0.85,True,True,9.76,30
2026-04-22,EEM,68,Breakout,False,63.39,58.95,69.67,1.41,True,True,9.91,27
2026-04-27,EEM,69,Breakout,False,63.63,59.67,69.99,1.61,True,True,10.0,24
2026-04-30,EEM,85,Breakout,False,63.9,60.22,70.27,1.73,True,True,9.97,21
2024-09-20,EFA,95,Breakout,False,82.27,79.32,86.77,1.53,True,False,-3.59,29
2024-09-30,EFA,85,Breakout,False,83.67,81.12,88.41,1.86,True,False,-3.05,11
2025-01-31,EFA,90,Breakout,False,79.24,76.69,82.84,1.41,True,True,4.54,17
2025-02-24,EFA,100,Breakout,False,81.47,79.45,85.03,1.76,True,True,4.37,17
2025-02-27,EFA,100,Breakout,False,81.42,79.8,85.05,2.24,True,True,4.46,14
2025-03-04,EFA,90,Breakout,False,82.45,79.95,86.08,1.45,True,False,-3.03,23
2025-03-07,EFA,85,Breakout,False,84.42,80.61,88.48,1.07,True,False,-4.51,19
2025-03-12,EFA,84,Breakout,False,82.72,80.65,86.91,2.02,True,False,-2.5,16
2025-03-17,EFA,78,Breakout,False,84.65,81.03,89.08,1.22,True,False,-4.28,10
2025-03-20,EFA,80,Breakout,False,84.18,81.61,88.21,1.57,True,False,-3.05,7
2025-03-28,EFA,100,Pullback,False,82.49,81.88,86.52,6.61,False,False,-0.74,1
2025-04-02,EFA,100,Pullback,False,82.05,80.92,86.1,3.58,False,False,-1.38,1
