as_of_date,ticker,smartscore,setup,near_miss,has_signal,setup_strength,trend_context,volume_bonus,base_tightness_bonus,meaningful_level_bonus,fibonacci_bonus,entry_price,actual_price,actual_return_pct,direction_correct
2025-02-18,CAG,,,False,False,,,,,,,23.91,26.58,11.17,True
2025-07-14,CAG,,,False,False,,,,,,,19.37,19.15,-1.14,False
2025-08-11,CAG,,,False,False,,,,,,,19.275,18.19,-5.63,False
2025-09-23,CAG,,,False,False,,,,,,,18.19,17.11,-5.94,False
2025-10-07,CAG,,,False,False,,,,,,,18.91,17.37,-8.14,False
2026-01-16,CAG,,,False,False,,,,,,,16.95,18.95,11.8,True
2026-02-02,CAG,89.0,Breakout,False,True,29.93161441678229,10.0,0.0,0.0,0.0,0.0,18.38,16.2,-11.86,False
2026-02-17,CAG,90.0,,True,True,0.0,10.0,5.0,0.0,10.0,15.0,18.9,15.71,-16.88,False
2026-03-03,CAG,70.0,,True,True,0.0,10.0,0.0,0.0,10.0,0.0,18.95,14.08,-25.7,False
2026-03-17,CAG,,,False,False,,,,,,,16.2,14.225,-12.19,False
2026-03-31,CAG,,,False,False,,,,,,,15.71,14.08,-10.38,False
2026-04-15,CAG,,,False,False,,,,,,,14.08,13.39,-4.9,False
2026-04-29,CAG,,,False,False,,,,,,,14.225,13.44,-5.52,False
2026-05-13,CAG,,,False,False,,,,,,,14.08,14.05,-0.21,False
2026-05-08,CAI,,,False,False,,,,,,,16.145,17.59,8.95,True
2026-03-03,DHT,85,Breakout,False,True,40,10,15,0,0,-15,19.24,17.67,-8.16,False
2024-09-09,EEM,100.0,Pullback,False,True,34.831584922548885,10.0,-10.0,0.0,10.0,15.0,42.14,45.61,8.23,True
2024-09-23,EEM,85.0,Breakout,False,True,30.517030959376285,10.0,5.0,12.0,0.0,-15.0,44.03,44.73,1.59,True
2024-10-07,EEM,83.0,Breakout,False,True,38.24283018828035,10.0,0.0,0.0,0.0,-15.0,47.38,43.45,-8.29,False
2024-10-21,EEM,70.0,,True,True,0.0,10.0,-10.0,0.0,10.0,10.0,45.61,43.54,-4.54,False
2024-11-04,EEM,100.0,Pullback,False,True,32.751788603427215,10.0,-10.0,0.0,10.0,15.0,44.73,42.94,-4.0,False
