feature,mean_importance,n_tickers
rs_60,0.06502971031246273,53
insider_net_buy_pct_90d,0.05835029921339444,41
volume_lag_1,0.04802789932118191,53
volume,0.04716515037955059,53
volatility,0.04706216024009263,53
news_sentiment_net_30d,0.04359379769791917,53
high,0.041405376237999836,53
price_vol_confirm,0.04128871976290332,53
ema50_slope,0.04029806328905657,53
high_low_range,0.03916647702249965,53
vwap_position_60,0.03915665288770878,53
close_lag_2,0.03896556175479364,53
mom_20,0.03810073663992505,53
volume_change,0.03533953675825584,53
rs_20,0.0340873175536554,53
low,0.032188352607105244,53
mom_10,0.029291951439364645,53
range_position,0.027138876345695194,53
ema50,0.02611627226812851,53
close_lag_3,0.025624143460214126,53
price_change,0.02417016153361585,53
rsi_slope,0.022334164264809067,53
close_lag_5,0.021695761351471738,53
ma10,0.019087647517076492,53
close_lag_1,0.018138785332284663,53
ema20_slope,0.018061155756199387,53
ma5,0.01718854118849413,53
mom_5,0.01697516753616321,53
ma20,0.016355340182143983,53
rsi,0.013618168588452004,53
ema20,0.01319025859644578,53
weekly_uptrend,0.010208548497223488,53
analyst_revision_net_90d,0.005904733654360918,43
