as_of_date,ticker,entry_price,predicted_price,predicted_return_pct,confidence,rf_confidence,gb_confidence,rf_r2,gb_r2,agreement_pct,actual_price,actual_return_pct,direction_correct
2024-09-09,ARQQ,7.073,7.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0,7.15,1.09,True
2024-09-23,ARQQ,5.502,5.75,4.51,0.5,0.9,0.0,0.0,0.0,1.9,5.66,2.87,True
2024-10-07,ARQQ,3.86,4.08,5.7,0.0,0.0,0.0,0.0,0.0,3.9,4.02,4.15,True
2024-10-21,ARQQ,7.11,7.03,-1.13,2.1,0.5,3.8,0.0055522359210499195,0.02922613993684453,3.6,6.95,-2.25,True
2024-11-04,ARQQ,5.79,5.44,-6.04,0.0,0.0,0.0,0.002877545936413095,0.05433500726376761,4.8,8.44,45.77,False
2024-11-18,ARQQ,7.49,7.67,2.4,0.0,0.0,0.0,0.0,0.0,1.6,17.6,134.98,True
2024-12-03,ARQQ,26.77,28.3,5.72,0.2,0.2,0.2,0.0,0.0,6.0,26.71,-0.22,False
2024-12-17,ARQQ,32.93,33.57,1.94,0.0,0.0,0.0,0.0,0.0,2.4,28.53,-13.36,False
2025-01-02,ARQQ,38.025,36.64,-3.64,0.0,0.0,0.0,0.0,0.0,3.7,21.64,-43.09,True
2025-01-17,ARQQ,26.73,25.2,-5.72,0.0,0.0,0.0,0.0,0.0,8.3,25.19,-5.76,True
2025-02-03,ARQQ,20.0,19.12,-4.4,0.0,0.0,0.0,0.0,0.0,3.5,18.8,-6.0,True
2025-02-18,ARQQ,15.98,15.96,-0.13,0.0,0.0,0.0,0.0,0.0,0.7,13.36,-16.4,True
2025-03-04,ARQQ,11.94,12.96,8.54,1.7,0.9,2.5,0.0,0.0,2.3,11.86,-0.67,False
2025-03-18,ARQQ,20.34,20.31,-0.15,3.5,0.0,7.0,0.021727131046785253,0.07178800079257663,10.4,18.16,-10.72,True
2025-04-01,ARQQ,13.415,15.48,15.39,1.0,0.0,2.0,0.0,0.0,0.5,12.175,-9.24,False
2025-04-15,ARQQ,14.71,14.7,-0.07,0.1,0.0,0.1,0.0,0.0,0.5,14.6,-0.75,True
2025-04-30,ARQQ,15.65,14.87,-4.98,0.1,0.0,0.1,0.0,0.0,5.4,15.96,1.98,False
2025-05-14,ARQQ,15.75,14.07,-10.67,2.5,0.0,5.1,0.0,0.020178510645359693,7.2,25.84,64.06,False
2025-05-29,ARQQ,22.66,26.9,18.71,0.1,0.0,0.3,0.0,0.0,2.2,21.45,-5.34,False
2025-06-12,ARQQ,26.92,27.08,0.59,0.8,0.0,1.7,0.0,0.0,1.8,41.61,54.57,True
2025-06-27,ARQQ,38.88,39.67,2.03,0.4,0.0,0.8,0.0,0.0,2.1,35.845,-7.81,False
2025-07-14,ARQQ,36.395,35.41,-2.71,0.1,0.0,0.3,0.0,0.0,2.7,41.38,13.7,False
2025-07-28,ARQQ,36.42,35.62,-2.2,0.1,0.0,0.1,0.0,0.0,2.8,35.22,-3.29,True
2025-08-11,ARQQ,32.895,29.25,-11.08,0.6,0.4,0.7,0.0,0.0,6.2,32.335,-1.7,True
2025-08-25,ARQQ,30.895,29.37,-4.94,1.6,1.3,2.0,0.0,0.0,2.2,27.765,-10.13,True
