symbol,entry_date,entry_price,exit_date,exit_price,shares,stop,target,outcome,bars_to_resolution,pnl,r_multiple,ema200_uptrend_pct,price_vs_ema200_pct,consolidation_range_pct,bounce_off_low_pct,price_vs_poc_pct,rr_ratio_planned,weak_rr,stop_distance_sanity_flag
HAL,2021-07-27 04:00:00,20.4102,2021-08-03 04:00:00,19.93,8507,19.94,32.66,stop_hit,5,-4084.81,-1.021,25.83,2.0,14.73,6.74,-7.7,16.3,False,True
HAL,2021-08-09 04:00:00,19.5698,2021-08-19 04:00:00,18.4608,3488,18.47,28.72,stop_hit,8,-3868.24,-1.008,24.45,-1.27,10.14,4.14,-10.65,5.62,False,False
HAL,2021-08-24 04:00:00,19.5648,2021-10-06 04:00:00,22.9885,3777,18.59,27.36,expired_unresolved,30,12931.4,3.512,21.01,-4.8,13.01,5.98,-1.28,12.85,False,False
HAL,2021-11-24 05:00:00,22.6813,2021-11-26 05:00:00,21.7991,4819,21.81,33.95,stop_hit,1,-4251.51,-1.012,12.67,6.8,13.37,4.17,-9.39,9.47,False,False
HAL,2021-12-03 05:00:00,22.4312,2021-12-15 05:00:00,21.7991,6485,21.81,33.37,stop_hit,8,-4099.27,-1.017,11.39,2.3,11.64,4.16,-13.1,51.64,False,True
HAL,2021-12-17 05:00:00,22.4112,2021-12-20 05:00:00,21.7991,6428,21.81,29.14,stop_hit,1,-3934.61,-1.018,9.54,4.13,12.32,6.67,-3.51,8.78,False,False
HAL,2021-12-22 05:00:00,22.5913,2022-01-18 05:00:00,29.1254,4745,21.81,29.14,target_hit,17,31004.49,8.362,9.1,4.49,12.27,7.12,-2.68,7.68,False,False
HAL,2022-07-26 04:00:00,28.8444,2022-08-04 04:00:00,27.1664,2972,27.18,46.07,stop_hit,7,-4987.03,-1.008,39.23,-8.8,8.94,3.93,-0.4,14.21,False,False
HAL,2022-08-10 04:00:00,28.2441,2022-09-21 04:00:00,27.1664,4462,27.18,35.78,stop_hit,29,-4808.72,-1.013,32.81,-8.32,7.26,3.83,-0.84,6.7,False,False
HAL,2023-02-27 05:00:00,36.9585,2023-02-28 05:00:00,36.5517,11728,36.57,50.85,stop_hit,1,-4770.42,-1.047,13.23,6.35,9.66,3.6,-3.81,32.31,False,True
HAL,2023-03-02 05:00:00,37.2886,2023-03-09 05:00:00,36.5517,6074,36.57,50.59,stop_hit,5,-4476.05,-1.025,13.34,7.63,9.53,5.04,-2.47,13.86,False,False
HAL,2023-04-03 04:00:00,33.5968,2023-05-02 04:00:00,30.4947,1356,30.51,55.5,stop_hit,20,-4206.37,-1.005,14.26,-8.23,12.66,7.55,-18.1,21.25,False,True
HAL,2023-05-23 04:00:00,30.4352,2023-05-31 04:00:00,28.7156,2356,28.73,46.01,stop_hit,5,-4051.32,-1.008,7.09,-10.03,7.71,8.36,-10.36,10.64,False,False
HAL,2023-06-02 04:00:00,30.9455,2023-07-11 04:00:00,36.8416,1491,28.36,36.86,target_hit,25,8791.09,2.28,5.14,-10.1,9.74,7.5,-0.66,4.27,False,False
HAL,2023-11-15 05:00:00,39.2096,2023-11-16 05:00:00,38.021,3597,38.04,53.86,stop_hit,1,-4275.45,-1.016,10.28,5.33,7.12,3.65,-4.93,12.86,False,False
HAL,2023-12-15 05:00:00,35.6378,2024-01-08 05:00:00,35.1824,9219,35.2,38.63,stop_hit,14,-4198.42,-1.04,11.68,-3.24,10.17,4.24,-4.45,3.99,False,False
HAL,2024-01-23 05:00:00,34.4472,2024-03-06 05:00:00,35.3323,3258,33.26,38.49,expired_unresolved,30,2883.69,0.745,9.53,-6.21,9.71,3.67,0.35,3.44,False,False
MO,2021-07-02 04:00:00,47.8539,2021-08-16 04:00:00,48.3758,2100,45.95,57.99,expired_unresolved,30,1095.96,0.274,11.13,4.23,7.22,3.25,1.41,5.46,False,False
MO,2021-08-18 04:00:00,48.4542,2021-09-30 04:00:00,46.8066,2489,46.83,53.72,stop_hit,30,-4100.95,-1.014,11.77,4.76,3.25,3.23,2.3,3.0,False,False
MO,2021-10-13 04:00:00,47.3337,2021-10-28 04:00:00,46.1769,3422,46.2,56.83,stop_hit,10,-3958.42,-1.02,7.37,0.27,7.0,3.58,-2.68,10.17,False,False
MO,2022-05-17 04:00:00,54.112,2022-05-19 04:00:00,52.9835,3376,53.01,67.86,stop_hit,2,-3809.98,-1.024,7.0,7.2,9.26,4.21,3.86,18.63,False,True
MO,2022-05-25 04:00:00,53.1266,2022-06-08 04:00:00,50.5847,1418,50.61,67.73,stop_hit,9,-3604.35,-1.01,7.62,5.19,10.43,3.6,2.14,6.48,False,False
EBAY,2021-05-25 04:00:00,61.4507,2021-07-08 04:00:00,68.5857,849,56.74,75.65,expired_unresolved,30,6057.6,1.514,5.01,6.38,6.68,5.81,1.59,3.48,False,False
EBAY,2021-12-28 05:00:00,65.8429,2022-01-04 05:00:00,64.9575,4973,64.99,88.37,stop_hit,5,-4403.09,-1.038,15.18,-3.22,5.31,3.08,-12.71,33.55,False,True
EBAY,2022-01-07 05:00:00,66.9385,2022-01-10 05:00:00,64.9575,2086,64.99,76.17,stop_hit,1,-4132.26,-1.016,13.36,-1.35,4.65,4.87,-11.19,5.15,False,False
EBAY,2022-01-12 05:00:00,66.9385,2022-01-13 05:00:00,64.9575,2002,64.99,75.34,stop_hit,1,-3965.86,-1.017,12.77,-1.82,4.67,4.28,-0.85,6.2,False,False
EBAY,2022-02-07 05:00:00,59.2196,2022-02-17 05:00:00,56.7116,1509,56.74,85.77,stop_hit,8,-3784.52,-1.011,8.0,-10.76,11.38,4.6,-11.16,10.32,False,False
