symbol,entry_date,entry_price,exit_date,exit_price,shares,stop,target,outcome,bars_to_resolution,pnl,r_multiple,ema200_uptrend_pct,price_vs_ema200_pct,consolidation_range_pct,bounce_off_low_pct,price_vs_poc_pct,rr_ratio_planned,weak_rr,stop_distance_sanity_flag
CTVA,2021-06-25 04:00:00,44.6723,2021-06-28 04:00:00,43.8481,4985,43.87,46.75,stop_hit,1,-4108.94,-1.027,30.56,6.9,7.32,3.82,-6.0,5.0,False,False
CTVA,2021-06-30 04:00:00,44.3572,2021-07-06 04:00:00,43.8481,7873,43.87,46.27,stop_hit,3,-4008.16,-1.045,29.92,6.5,6.3,3.63,-6.17,5.0,False,False
CTVA,2021-07-22 04:00:00,42.1911,2021-09-02 04:00:00,44.8975,2309,40.6,50.51,expired_unresolved,30,6249.2,1.7,25.37,1.16,8.87,3.39,-6.23,5.0,False,False
CTVA,2021-09-07 04:00:00,44.5823,2021-09-08 04:00:00,43.8481,5510,43.87,50.23,stop_hit,1,-4045.52,-1.031,17.03,6.2,7.16,7.15,1.72,5.0,False,False
CTVA,2021-09-10 04:00:00,44.072,2021-09-17 04:00:00,42.029,1861,42.05,47.18,stop_hit,5,-3802.12,-1.01,16.28,2.89,6.88,3.94,-0.71,2.35,True,False
CTVA,2021-09-28 04:00:00,43.5918,2021-10-06 04:00:00,42.029,2342,42.05,50.25,stop_hit,6,-3660.1,-1.013,12.66,2.48,6.77,4.89,2.25,5.0,False,False
CTVA,2021-10-11 04:00:00,43.0065,2021-10-13 04:00:00,41.5692,2446,41.59,48.67,stop_hit,2,-3515.61,-1.015,10.36,0.88,4.87,3.33,0.73,5.0,False,False
CTVA,2021-10-15 04:00:00,43.6318,2021-11-30 05:00:00,44.9975,1628,41.59,49.49,expired_unresolved,30,2223.34,0.669,9.39,2.33,3.48,3.4,1.97,3.39,False,False
CTVA,2021-12-03 05:00:00,46.5032,2021-12-15 05:00:00,45.3173,2934,45.34,50.49,stop_hit,8,-3479.46,-1.019,5.73,6.51,8.85,3.49,8.25,5.0,False,False
CTVA,2021-12-17 05:00:00,46.8134,2021-12-20 05:00:00,45.3173,2222,45.34,55.11,stop_hit,1,-3324.26,-1.015,5.67,7.41,7.43,5.22,9.79,5.0,False,False
CTVA,2021-12-27 05:00:00,46.5733,2022-01-21 05:00:00,45.3173,2546,45.34,51.93,stop_hit,18,-3197.64,-1.018,5.65,5.95,7.28,3.78,8.56,5.0,False,False
CTVA,2022-01-26 05:00:00,46.2331,2022-02-04 05:00:00,49.6252,3373,45.34,49.65,target_hit,7,11441.45,3.797,6.49,3.51,9.23,3.2,-4.28,5.0,False,False
CTVA,2022-07-05 04:00:00,52.6563,2022-07-06 04:00:00,51.994,5454,52.02,64.63,stop_hit,1,-3612.32,-1.041,19.11,3.43,13.05,6.24,-5.15,5.0,False,False
CTVA,2022-07-08 04:00:00,53.0665,2022-07-13 04:00:00,51.994,3178,52.02,56.95,stop_hit,3,-3408.5,-1.025,18.85,0.98,8.71,3.73,-7.2,5.0,False,False
CTVA,2022-07-20 04:00:00,53.4017,2022-08-16 04:00:00,62.1389,2308,52.02,62.17,target_hit,19,20165.52,6.321,18.03,2.62,5.59,4.23,-6.38,5.0,False,False
CTVA,2022-10-04 04:00:00,60.01,2022-11-15 05:00:00,66.7366,888,55.51,72.71,expired_unresolved,30,5973.24,1.495,16.28,6.81,11.2,3.41,-4.23,3.71,False,False
CTVA,2023-01-09 05:00:00,61.2806,2023-02-22 05:00:00,61.909,2581,59.64,68.01,expired_unresolved,30,1621.91,0.383,12.81,3.39,4.46,4.67,-7.62,5.0,False,False
CTVA,2023-02-24 05:00:00,61.2406,2023-03-09 05:00:00,60.8096,10734,60.84,67.54,stop_hit,9,-4626.62,-1.076,11.58,3.39,7.1,3.16,-0.13,5.0,False,False
CTVA,2023-03-22 04:00:00,58.5793,2023-05-04 04:00:00,56.8216,1502,55.84,71.66,expired_unresolved,30,-2640.07,-0.642,8.94,-2.46,12.24,3.43,-5.9,4.92,False,False
CTVA,2024-12-10 05:00:00,59.6948,2024-12-13 05:00:00,58.7506,4383,58.78,64.58,stop_hit,3,-4138.53,-1.032,5.12,6.2,11.98,4.84,-1.76,5.0,False,False
CTVA,2025-01-14 05:00:00,60.09,2025-01-30 05:00:00,66.1369,2726,58.68,66.17,target_hit,11,16483.81,4.288,6.07,6.01,6.65,7.12,-1.47,5.0,False,False
CTVA,2025-03-18 04:00:00,61.5458,2025-04-04 04:00:00,59.0605,1833,59.09,74.07,stop_hit,13,-4555.56,-1.012,9.17,5.15,7.23,5.23,-1.96,5.0,False,False
CTVA,2025-04-10 04:00:00,57.6938,2025-05-23 04:00:00,69.0155,1332,54.45,79.01,expired_unresolved,30,15080.43,3.49,8.5,-0.65,14.37,5.36,-6.65,5.0,False,False
CTVA,2025-10-06 04:00:00,63.5368,2025-11-17 05:00:00,63.8681,1102,59.07,76.64,expired_unresolved,30,365.09,0.074,13.79,-5.67,14.8,3.1,-12.52,3.1,False,False
CTVA,2025-11-19 05:00:00,64.8024,2026-01-05 05:00:00,67.8511,3912,63.54,69.51,expired_unresolved,30,11926.41,2.415,10.18,-2.45,7.77,5.02,4.58,5.0,False,False
CTVA,2026-06-17 04:00:00,77.0485,2026-07-22 04:00:00,88.1959,2212,74.6,88.24,target_hit,23,24657.99,4.553,12.67,3.22,7.99,3.25,-7.46,5.0,False,False
HAL,2021-07-27 04:00:00,20.4102,2021-08-03 04:00:00,19.93,8507,19.94,24.35,stop_hit,5,-4084.81,-1.021,25.83,2.0,14.73,6.74,-7.7,5.0,False,False
HAL,2021-08-09 04:00:00,19.5698,2021-08-19 04:00:00,18.4608,3488,18.47,24.34,stop_hit,8,-3868.24,-1.008,24.45,-1.27,10.14,4.14,-10.65,2.79,True,False
HAL,2021-08-24 04:00:00,19.5648,2021-09-28 04:00:00,22.3788,3777,18.59,22.39,target_hit,24,10628.58,2.887,21.01,-4.8,13.01,5.98,-1.28,5.0,False,False
HAL,2021-11-24 05:00:00,22.6813,2021-11-26 05:00:00,21.7991,4713,21.81,28.77,stop_hit,1,-4158.0,-1.012,12.67,6.8,13.37,4.17,-9.39,5.0,False,False
HAL,2021-12-03 05:00:00,22.4312,2021-12-07 05:00:00,23.1184,6343,21.81,23.13,target_hit,2,4359.07,1.106,11.39,2.3,11.64,4.16,-13.1,5.0,False,False
HAL,2021-12-14 05:00:00,22.5213,2021-12-15 05:00:00,21.7991,5785,21.81,27.27,stop_hit,1,-4177.7,-1.015,10.08,4.98,12.24,7.42,-10.37,5.0,False,False
HAL,2021-12-17 05:00:00,22.4112,2021-12-20 05:00:00,21.7991,6566,21.81,26.31,stop_hit,1,-4019.08,-1.018,9.54,4.13,12.32,6.67,-3.51,5.0,False,False
