symbol,side,date,price,shares
CTVA,buy,2021-06-25 04:00:00,44.6723,4985
CTVA,sell,2021-06-28 04:00:00,43.8481,4985
CTVA,buy,2021-06-30 04:00:00,44.3572,7873
CTVA,sell,2021-07-06 04:00:00,43.8481,7873
CTVA,buy,2021-07-22 04:00:00,42.1911,2309
CTVA,sell,2021-09-02 04:00:00,44.8975,2309
CTVA,buy,2021-09-07 04:00:00,44.5823,5510
CTVA,sell,2021-09-08 04:00:00,43.8481,5510
CTVA,buy,2021-09-10 04:00:00,44.072,1861
CTVA,sell,2021-09-17 04:00:00,42.029,1861
CTVA,buy,2021-09-28 04:00:00,43.5918,2342
CTVA,sell,2021-10-06 04:00:00,42.029,2342
CTVA,buy,2021-10-11 04:00:00,43.0065,2446
CTVA,sell,2021-10-13 04:00:00,41.5692,2446
CTVA,buy,2021-10-15 04:00:00,43.6318,1628
CTVA,sell,2021-11-30 05:00:00,44.9975,1628
CTVA,buy,2021-12-03 05:00:00,46.5032,2934
CTVA,sell,2021-12-15 05:00:00,45.3173,2934
CTVA,buy,2021-12-17 05:00:00,46.8134,2222
CTVA,sell,2021-12-20 05:00:00,45.3173,2222
CTVA,buy,2021-12-27 05:00:00,46.5733,2546
CTVA,sell,2022-01-21 05:00:00,45.3173,2546
CTVA,buy,2022-01-26 05:00:00,46.2331,3373
CTVA,sell,2022-02-04 05:00:00,49.6252,3373
CTVA,buy,2022-07-05 04:00:00,52.6563,5454
CTVA,sell,2022-07-06 04:00:00,51.994,5454
CTVA,buy,2022-07-08 04:00:00,53.0665,3178
CTVA,sell,2022-07-13 04:00:00,51.994,3178
CTVA,buy,2022-07-20 04:00:00,53.4017,2308
CTVA,sell,2022-08-16 04:00:00,62.1389,2308
CTVA,buy,2022-10-04 04:00:00,60.01,888
CTVA,sell,2022-11-15 05:00:00,66.7366,888
CTVA,buy,2023-01-09 05:00:00,61.2806,2581
CTVA,sell,2023-02-22 05:00:00,61.909,2581
CTVA,buy,2023-02-24 05:00:00,61.2406,10734
CTVA,sell,2023-03-09 05:00:00,60.8096,10734
CTVA,buy,2023-03-22 04:00:00,58.5793,1502
CTVA,sell,2023-05-04 04:00:00,56.8216,1502
CTVA,buy,2024-12-10 05:00:00,59.6948,4383
CTVA,sell,2024-12-13 05:00:00,58.7506,4383
CTVA,buy,2025-01-14 05:00:00,60.09,2726
CTVA,sell,2025-01-30 05:00:00,66.1369,2726
CTVA,buy,2025-03-18 04:00:00,61.5458,1833
CTVA,sell,2025-04-04 04:00:00,59.0605,1833
CTVA,buy,2025-04-10 04:00:00,57.6938,1332
CTVA,sell,2025-05-23 04:00:00,69.0155,1332
CTVA,buy,2025-10-06 04:00:00,63.5368,1102
CTVA,sell,2025-11-17 05:00:00,63.8681,1102
CTVA,buy,2025-11-19 05:00:00,64.8024,3912
CTVA,sell,2026-01-05 05:00:00,67.8511,3912
CTVA,buy,2026-06-17 04:00:00,77.0485,2212
CTVA,sell,2026-07-22 04:00:00,88.1959,2212
HAL,buy,2021-07-27 04:00:00,20.4102,8507
HAL,sell,2021-08-03 04:00:00,19.93,8507
HAL,buy,2021-08-09 04:00:00,19.5698,3488
HAL,sell,2021-08-19 04:00:00,18.4608,3488
HAL,buy,2021-08-24 04:00:00,19.5648,3777
HAL,sell,2021-09-28 04:00:00,22.3788,3777
HAL,buy,2021-11-24 05:00:00,22.6813,4713
HAL,sell,2021-11-26 05:00:00,21.7991,4713
HAL,buy,2021-12-03 05:00:00,22.4312,6343
HAL,sell,2021-12-07 05:00:00,23.1184,6343
HAL,buy,2021-12-14 05:00:00,22.5213,5785
HAL,sell,2021-12-15 05:00:00,21.7991,5785
HAL,buy,2021-12-17 05:00:00,22.4112,6566
HAL,sell,2021-12-20 05:00:00,21.7991,6566
HAL,buy,2021-12-22 05:00:00,22.5913,4847
HAL,sell,2022-01-11 05:00:00,26.8666,4847
HAL,buy,2022-07-26 04:00:00,28.8444,2773
HAL,sell,2022-08-04 04:00:00,27.1664,2773
HAL,buy,2022-08-10 04:00:00,28.2441,4163
HAL,sell,2022-09-21 04:00:00,27.1664,4163
HAL,buy,2023-02-27 05:00:00,36.9585,10941
HAL,sell,2023-02-28 05:00:00,36.5517,10941
HAL,buy,2023-03-02 05:00:00,37.2886,5666
HAL,sell,2023-03-09 05:00:00,36.5517,5666
HAL,buy,2023-04-03 04:00:00,33.5968,1265
HAL,sell,2023-05-02 04:00:00,30.4947,1265
HAL,buy,2023-05-23 04:00:00,30.4352,2198
HAL,sell,2023-05-31 04:00:00,28.7156,2198
HAL,buy,2023-06-02 04:00:00,30.9455,1391
HAL,sell,2023-07-11 04:00:00,36.8416,1391
HAL,buy,2023-11-15 05:00:00,39.2096,3356
HAL,sell,2023-11-16 05:00:00,38.021,3356
HAL,buy,2023-12-15 05:00:00,35.6378,8601
HAL,sell,2024-01-08 05:00:00,35.1824,8601
HAL,buy,2024-01-23 05:00:00,34.4472,3040
HAL,sell,2024-03-06 05:00:00,35.3323,3040
HAL,buy,2026-07-09 04:00:00,34.6773,2298
HAL,sell,2026-07-21 04:00:00,33.0435,2298
SUPN,buy,2021-03-19 04:00:00,25.7629,1579
SUPN,sell,2021-05-03 04:00:00,30.9845,1579
SUPN,buy,2021-07-26 04:00:00,27.3637,1771
SUPN,sell,2021-08-10 04:00:00,24.9075,1771
SUPN,buy,2021-08-24 04:00:00,24.9325,2280
SUPN,sell,2021-10-06 04:00:00,26.4268,2280
SUPN,buy,2022-02-09 05:00:00,31.4157,1409
SUPN,sell,2022-03-01 05:00:00,28.3558,1409
SUPN,buy,2022-03-11 05:00:00,31.3657,1422
SUPN,sell,2022-04-25 04:00:00,29.2754,1422
SUPN,buy,2022-05-16 04:00:00,26.9235,4285
SUPN,sell,2022-06-13 04:00:00,25.977,4285
SUPN,buy,2022-11-16 05:00:00,34.097,2787
SUPN,sell,2022-12-30 05:00:00,35.6322,2787
SUPN,buy,2023-03-15 04:00:00,35.2876,10906
SUPN,sell,2023-03-17 04:00:00,34.9025,10906
SUPN,buy,2023-03-22 04:00:00,36.3882,2616
SUPN,sell,2023-03-23 04:00:00,34.9025,2616
SUPN,buy,2023-03-28 04:00:00,36.4482,2145
SUPN,sell,2023-05-10 04:00:00,36.6717,2145
SUPN,buy,2023-05-17 04:00:00,35.1276,1539
SUPN,sell,2023-06-01 04:00:00,32.7036,1539
SUPN,buy,2023-06-07 04:00:00,34.8674,1807
SUPN,sell,2023-06-21 04:00:00,32.8835,1807
SUPN,buy,2023-07-12 04:00:00,30.9755,1384
SUPN,sell,2023-08-23 04:00:00,32.1039,1384
SUPN,buy,2025-03-18 04:00:00,31.7559,3674
SUPN,sell,2025-04-08 04:00:00,30.7946,3674
SUPN,buy,2025-04-10 04:00:00,31.0155,3563
SUPN,sell,2025-04-21 04:00:00,30.065,3563
SUPN,buy,2025-04-25 04:00:00,31.4857,1139
SUPN,sell,2025-06-09 04:00:00,33.2534,1139
SUPN,buy,2026-03-30 04:00:00,49.3647,1749
SUPN,sell,2026-05-01 04:00:00,47.4663,1749
SUPN,buy,2026-05-12 04:00:00,49.1946,1813
SUPN,sell,2026-05-27 04:00:00,47.4363,1813
SUPN,buy,2026-06-10 04:00:00,45.7429,1499
SUPN,sell,2026-06-15 04:00:00,43.7081,1499
SUPN,buy,2026-06-25 04:00:00,45.0225,2080
SUPN,sell,2026-08-04 04:00:00,43.6082,2080
DOW,buy,2021-07-22 04:00:00,58.6093,2632
DOW,sell,2021-09-02 04:00:00,62.5487,2632
DOW,buy,2021-09-24 04:00:00,57.2386,10065
DOW,sell,2021-10-06 04:00:00,56.7716,10065
DOW,buy,2021-10-08 04:00:00,58.8594,2052
DOW,sell,2021-10-13 04:00:00,56.7716,2052
DOW,buy,2021-10-15 04:00:00,59.4697,1519
DOW,sell,2021-10-27 04:00:00,56.7716,1519
DOW,buy,2021-11-03 04:00:00,58.4142,1579
DOW,sell,2021-11-30 05:00:00,55.922,1579
DOW,buy,2024-05-17 04:00:00,59.1195,1556
DOW,sell,2024-05-31 04:00:00,56.6916,1556
DOW,buy,2026-06-05 04:00:00,34.5873,3235
DOW,sell,2026-06-09 04:00:00,33.4633,3235
DOW,buy,2026-06-11 04:00:00,35.0525,1384
DOW,sell,2026-06-15 04:00:00,32.5537,1384
DOW,buy,2026-07-14 04:00:00,31.1155,1604
DOW,sell,2026-07-27 04:00:00,29.0455,1604
DOW,buy,2026-07-30 04:00:00,30.1701,2852
DOW,sell,2026-08-04 04:00:00,29.0455,2852
DOW,buy,2026-08-06 04:00:00,29.99,3266
DOW,sell,2026-08-20 04:00:00,32.5937,3266
RIOT,buy,2021-10-15 04:00:00,27.4837,1728
RIOT,sell,2021-10-18 04:00:00,28.9155,1728
RIOT,buy,2023-10-24 04:00:00,10.8054,2855
RIOT,sell,2023-10-31 04:00:00,9.3653,2855
RIOT,buy,2023-11-22 05:00:00,11.2106,5697
RIOT,sell,2023-12-04 05:00:00,14.3628,5697
RIOT,buy,2024-02-05 05:00:00,11.1756,7097
RIOT,sell,2024-02-06 05:00:00,10.5147,7097
RIOT,buy,2024-02-08 05:00:00,11.8359,3393
RIOT,sell,2024-02-12 05:00:00,15.2924,3393
RIOT,buy,2024-03-26 04:00:00,12.4312,2581
RIOT,sell,2024-04-02 04:00:00,10.5147,2581
RIOT,buy,2026-03-26 04:00:00,14.8074,3827
RIOT,sell,2026-03-27 04:00:00,13.5632,3827
BG,buy,2021-07-22 04:00:00,75.8479,2164
BG,sell,2021-08-19 04:00:00,73.963,2164
BG,buy,2021-08-26 04:00:00,76.1781,1901
BG,sell,2021-10-08 04:00:00,84.3078,1901
BG,buy,2022-07-20 04:00:00,89.5648,28786
BG,sell,2022-07-21 04:00:00,92.2439,28786
BG,buy,2022-07-25 04:00:00,92.096,2807
BG,sell,2022-07-27 04:00:00,89.3653,2807
BG,buy,2022-07-29 04:00:00,89.7348,1261
BG,sell,2022-09-12 04:00:00,94.8725,1261
BG,buy,2023-10-18 04:00:00,105.1025,3876
BG,sell,2023-10-20 04:00:00,103.1184,3876
BG,buy,2023-10-27 04:00:00,106.073,2474
